FID,NEWID,LENGTH,TIDE_M,SLOPE_PCT,ERR_M_YR,SL_MM_YR_,GEOM,WAVES_M,CVIVALUE,StateAbbr,FullState
12371,12739,0.08581,0.35,0.1029,0,2.9000001,4,0.5,7.745966692,AL,Alabama
12372,12740,0.0822,0.349,0.1087,0,2.875,5,0.5,8.660254038,AL,Alabama
12373,12741,0.02575,0.342,0.1083,0,2.6559999,5,0.5,8.660254038,AL,Alabama
12374,12742,0.05132,0.35,0.0745,0,3.0999999,4,0.5,8.94427191,AL,Alabama
12375,12743,0.05471,0.35,0.1038,0,2.5,5,0.5,8.660254038,AL,Alabama
12376,12744,0.0219,0.4,0.0795,0,2,4,0.6,8.94427191,AL,Alabama
12377,12745,0.06101,0.355,0.0553,0,3.2,4,0.5,8.94427191,AL,Alabama
12379,12747,0.06964,0.388,0.0653,0,1.938,4,0.5,6.32455532,AL,Alabama
12380,12748,0.03852,0.38,0.0642,0,1.9,4,0.6,8.94427191,AL,Alabama
12385,12753,0.05722,0.36,0.0838,-0.2,2.5999999,4,0.5,7.745966692,AL,Alabama
12386,12754,0.06175,0.38,0.052,-0.033,1.9,4,0.5,7.745966692,AL,Alabama
12387,12755,0.05204,0.38,0.0574,0,1.9,4,0.5,6.32455532,AL,Alabama
12394,12762,0.06962,0.36,0.0592,-0.8,2.5999999,5,0.5,8.660254038,AL,Alabama
12395,12763,0.05444,0.36,0.0588,-0.8,2.5999999,5,0.5,8.660254038,AL,Alabama
12410,12778,0.0505,0.36,0.0184,-1.12,3.0999999,4,0.5,16.33,AL,Alabama
12411,12779,0.05513,0.365,0.0544,-0.8,2.4920001,5,0.5,8.660254038,AL,Alabama
12412,12780,0.00236,0.37,0.0503,-0.8,2.4000001,5,0.5,8.660254038,AL,Alabama
12413,12781,0.03885,0.41,0.0636,-0.8,2.4000001,5,0.5,7.071067812,AL,Alabama
12414,12782,0.05898,0.26,0.0504,-0.8,2,5,0.5,8.660254038,AL,Alabama
12415,12783,0.07581,0.33,0.053,-0.8,1.9,5,0.5,8.660254038,AL,Alabama
12450,12818,0.05441,0.37,0.0443,-2.3499999,3.5999999,5,0.7,25,AL,Alabama
12451,12819,0.05221,0.37,0.0327,-1.284,3.5999999,5,0.7,25.82,AL,Alabama
12452,12820,0.02622,0.363,0.0264,-1.12,3.2249999,5,0.7,23.09,AL,Alabama
12453,12821,0.05224,0.36,0.0188,-1.12,3.0999999,5,0.5,18.26,AL,Alabama
12454,12822,0.05398,0.399,0.0546,-0.8,2.4000001,5,0.5,8.660254038,AL,Alabama
12455,12823,0.09048,0.41,0.0553,-0.8,2.4000001,5,0.5,7.071067812,AL,Alabama
12456,12824,0.02117,0.29,0.0444,0.06,2.0999999,5,0.5,8.660254038,AL,Alabama
12457,12825,0.00103,0.29,0.0444,0.06,2.0999999,5,0.5,8.660254038,AL,Alabama
12458,12826,0.00146,0.26,0.0378,0.06,2,5,0.5,8.660254038,AL,Alabama
12459,12827,0.06588,0.26,0.0383,0.017,2,5,0.5,8.660254038,AL,Alabama
12460,12828,0.08381,0.26,0.0449,2,2,5,0.5,7.071067812,AL,Alabama
12482,12850,0.02981,0.4,0.0494,-0.8,2.45,5,0.5,8.660254038,AL,Alabama
12483,12851,0.05109,0.39,0.0435,-0.8,2.5,5,0.5,10.61,AL,Alabama
12484,12852,0.0415,0.29,0.0399,0.06,2.0999999,5,0.7,12.25,AL,Alabama
12485,12853,0.13747,0.29,0.0349,2,2.0999999,5,0.7,11.55,AL,Alabama
12486,12854,0.0817,0.272,0.0336,2,2.0639999,5,0.5,8.164965809,AL,Alabama
12487,12855,0.12102,0.21,0.0309,2,2,5,0.5,8.164965809,AL,Alabama
12497,12865,0.04238,0.39,0.0367,0,2.5,5,0.7,15,AL,Alabama
12498,12866,0.07118,0.39,0.0393,0,2.5,5,0.7,15,AL,Alabama
12499,12867,0.01963,0.36,0.0361,0.06,2.2,5,0.7,12.25,AL,Alabama
12500,12868,0.05307,0.29,0.034,0.06,2.0999999,5,0.7,14.14,AL,Alabama
12501,12869,0.05457,0.29,0.0324,0.06,2.0999999,5,0.7,14.14,AL,Alabama
12502,12870,0.06268,0.273,0.0312,0.06,2.079,5,0.5,10,AL,Alabama
12503,12871,0.06683,0.21,0.031,0.03,2,5,0.5,10,AL,Alabama
12508,12876,0.07387,0.38,0.0377,0,2.5999999,5,0.7,15,AL,Alabama
