FID,NEWID,LENGTH,TIDE_M,SLOPE_PCT,ERR_M_YR,SL_MM_YR_,GEOM,WAVES_M,CVIVALUE,StateAbbr,FullState
1926,1927,0.01909,0.79,0.2555,-0.7,1.5,4,0.9,5.477225575,CT,Connecticut
1927,1928,0.01909,0.79,0.2606,-0.7,1.5,4,0.9,5.477225575,CT,Connecticut
1937,1938,0.01309,0.79,0.2555,-0.7,1.5,4,0.9,5.477225575,CT,Connecticut
1938,1939,0.0138,0.79,0.2555,-0.7,1.5,4,0.9,5.477225575,CT,Connecticut
1939,1940,0.0138,0.79,0.2555,-0.7,1.5,4,0.9,5.477225575,CT,Connecticut
1948,1949,0.01979,1.02,0.3057,-0.4,1.6,4,0.9,4.898979486,CT,Connecticut
1969,1970,0.03084,1.02,0.3057,-0.4,1.6,4,0.9,4.898979486,CT,Connecticut
1970,1971,0.03084,1.02,0.3057,-0.4,1.6,4,0.9,4.898979486,CT,Connecticut
1971,1972,0.02912,0.79,0.2555,-0.7,1.5,4,0.9,5.477225575,CT,Connecticut
1972,1973,0.02912,0.79,0.2555,-0.7,1.5,4,0.9,5.477225575,CT,Connecticut
1973,1974,0.02912,0.79,0.2555,-0.7,1.5,4,0.9,5.477225575,CT,Connecticut
1977,1978,0.02992,0.79,0.2555,-0.7,1.5,4,0.9,5.477225575,CT,Connecticut
1978,1979,0.02992,0.79,0.2555,-0.7,1.5,4,0.9,5.477225575,CT,Connecticut
1999,2000,0.07104,1.02,0.3164,-0.4,1.6,4,0.9,4.898979486,CT,Connecticut
2000,2001,0.07104,1.02,0.2979,-0.4,1.6,4,0.9,4.898979486,CT,Connecticut
2007,2008,0.06548,0.79,0.2242,-0.7,1.6,1,0.9,2.738612788,CT,Connecticut
2008,2009,0.06548,0.79,0.2165,-0.7,1.6,1,0.9,2.738612788,CT,Connecticut
2015,2016,0.01482,0.79,0.2165,-0.7,1.6,1,0.9,2.738612788,CT,Connecticut
2027,2028,0.00241,0.79,0.2249,-0.7,1.55,1,0.9,2.738612788,CT,Connecticut
2028,2029,0.07001,0.72,0.2365,-0.7,1.55,1,0.9,2.738612788,CT,Connecticut
2029,2030,0.07001,0.79,0.2524,-0.7,1.6,1,0.9,2.738612788,CT,Connecticut
2031,2032,0.03505,0.79,0.2347,-0.7,1.5,4,0.9,5.477225575,CT,Connecticut
2032,2033,0.01308,0.79,0.2249,-0.7,1.55,1,0.9,2.738612788,CT,Connecticut
2033,2034,0.01308,0.79,0.2249,-0.7,1.55,1,0.9,2.738612788,CT,Connecticut
2041,2042,0.02077,0.79,0.2067,-0.7,1.6,1,0.9,2.738612788,CT,Connecticut
2042,2043,0.01009,0.79,0.2249,-0.7,1.55,1,0.9,2.738612788,CT,Connecticut
2044,2045,0.01425,0.79,0.2165,-0.7,1.65,5,0.9,6.123724357,CT,Connecticut
2047,2048,0.01952,0.79,0.2249,-0.7,1.55,1,0.9,2.738612788,CT,Connecticut
2049,2050,0.03945,1.02,0.288,-0.4,1.6,4,0.9,4.898979486,CT,Connecticut
2050,2051,0.03945,1.02,0.2762,-0.4,1.6,4,0.9,4.898979486,CT,Connecticut
2051,2052,0.01935,0.79,0.2165,-0.7,1.65,5,0.9,6.123724357,CT,Connecticut
2052,2053,0.01527,0.79,0.2165,-0.7,1.6,5,0.9,6.123724357,CT,Connecticut
2053,2054,0.05924,0.72,0.2253,-0.7,1.55,1,0.9,2.738612788,CT,Connecticut
2054,2055,0.03716,0.79,0.2386,-0.7,1.5,4,0.9,5.477225575,CT,Connecticut
2055,2056,0.03716,0.79,0.2344,-0.7,1.5,4,0.9,5.477225575,CT,Connecticut
2056,2057,0.03339,1.02,0.2762,-0.4,1.6,4,0.9,4.898979486,CT,Connecticut
2057,2058,0.00242,0.79,0.2344,-0.7,1.5,1,0.9,2.738612788,CT,Connecticut
2058,2059,0.06048,0.79,0.2048,-0.7,1.65,5,0.9,6.123724357,CT,Connecticut
2064,2065,0.01374,1.02,0.2615,-0.7,1.55,1,0.9,2.449489743,CT,Connecticut
2067,2068,0.00735,1.02,0.2654,0.5,1.55,1,0.9,2.449489743,CT,Connecticut
2069,2070,0.00761,1.02,0.2762,-0.4,1.6,4,0.9,4.898979486,CT,Connecticut
2070,2071,0.00761,1.02,0.2762,-0.4,1.6,4,0.9,4.898979486,CT,Connecticut
2071,2072,0.01349,1.02,0.2762,-0.4,1.6,4,0.9,4.898979486,CT,Connecticut
2072,2073,0.01349,1.02,0.2762,-0.4,1.6,4,0.9,4.898979486,CT,Connecticut
