FID,NEWID,LENGTH,TIDE_M,SLOPE_PCT,ERR_M_YR,SL_MM_YR_,GEOM,WAVES_M,CVIVALUE,StateAbbr,FullState
3236,3237,0.01441,1.71,0.1886,-4.8000002,2.9000001,4,1,10.95,DE,Delaware
3237,3238,0.01343,1.62,0.1763,-4.8000002,2.9000001,4,1,10.95,DE,Delaware
3249,3250,0.04735,1.71,0.1707,-4.8000002,2.9000001,4,1,10.95,DE,Delaware
3250,3251,0.04735,1.71,0.1438,-4.8000002,2.9000001,4,1,10.95,DE,Delaware
3267,3268,0.0643,1.71,0.1472,-4.8000002,2.9000001,4,1,10.95,DE,Delaware
3268,3269,0.0643,1.71,0.1438,-4.8000002,2.9000001,4,1,10.95,DE,Delaware
3269,3270,0.0643,1.71,0.107,-4.8000002,2.9000001,4,1,15.49,DE,Delaware
3274,3275,0.03178,1.71,0.1183,-4.8000002,2.9000001,4,1,10.95,DE,Delaware
3275,3276,0.03178,1.71,0.107,-4.8000002,2.9000001,4,1,15.49,DE,Delaware
3299,3300,0.05625,1.71,0.0698,-4.8000002,2.9000001,4,1,15.49,DE,Delaware
3300,3301,0.05625,1.71,0.0698,-4.8000002,2.9000001,4,1,15.49,DE,Delaware
3306,3307,0.06511,1.66,0.1105,-4.8000002,2.9000001,4,1,15.49,DE,Delaware
3307,3308,0.06511,1.66,0.0729,-4.8000002,2.9000001,4,1,15.49,DE,Delaware
3308,3309,0.06511,1.71,0.0698,-4.8000002,2.9000001,4,1,15.49,DE,Delaware
3337,3338,0.03316,1.6799999,0.0698,-4.8000002,2.9000001,4,1,15.49,DE,Delaware
3338,3339,0.03316,1.6799999,0.0631,-4.8000002,2.9000001,4,1,15.49,DE,Delaware
3394,3395,0.04848,1.6799999,0.0564,-4.8000002,2.9000001,4,1,15.49,DE,Delaware
3433,3434,0.04204,1.6799999,0.0564,-4.8000002,2.9000001,3,1,13.42,DE,Delaware
3434,3435,0.04204,1.8099999,0.0545,-4.8000002,2.9000001,3,1,16.43,DE,Delaware
3453,3454,0.017,1.8099999,0.0536,-4.8000002,2.9000001,3,1,16.43,DE,Delaware
3454,3455,0.017,1.8099999,0.0536,-4.8000002,2.9000001,3,1,16.43,DE,Delaware
3522,3523,0.10255,1.8099999,0.0529,-4.8000002,2.9000001,3,1,16.43,DE,Delaware
3523,3524,0.10255,1.8099999,0.0573,-4.8000002,2.9000001,3,1,13.42,DE,Delaware
3524,3525,0.10255,1.8099999,0.0566,-4.8000002,2.9000001,3,1,13.42,DE,Delaware
3566,3567,0.00295,1.8099999,0.0529,-4.8000002,2.9000001,3,1,16.43,DE,Delaware
3567,3568,0.05082,1.8099999,0.0529,-4.8000002,2.9000001,3,1,16.43,DE,Delaware
3575,3576,0.01373,1.8099999,0.0542,-4.8000002,2.9000001,3,1,16.43,DE,Delaware
3593,3594,0.01572,1.8099999,0.0568,-4.8000002,2.9000001,3,1,13.42,DE,Delaware
3594,3595,0.01572,1.8099999,0.0568,-4.8000002,2.9000001,3,1,13.42,DE,Delaware
3623,3624,0.02212,1.8099999,0.0513,-4.8000002,2.9000001,3,1,16.43,DE,Delaware
3662,3663,0.1092,1.8099999,0.0486,-4.8000002,2.9000001,3,1,16.43,DE,Delaware
3663,3664,0.1092,1.7,0.0489,-4.8000002,2.9000001,3,1,16.43,DE,Delaware
3664,3665,0.1092,1.7,0.0489,-4.8000002,2.9000001,3,1,16.43,DE,Delaware
3665,3666,0.00555,1.7,0.0441,-4.8000002,2.9000001,3,1,16.43,DE,Delaware
3736,3737,0.05004,1.7,0.0393,-4.8000002,2.9000001,3,1,16.43,DE,Delaware
3791,3792,0.04761,1.7,0.0356,-4.8000002,2.9000001,3,1,16.43,DE,Delaware
3792,3793,0.04761,1.7,0.0336,-4.8000002,2.9000001,3,1,18.97,DE,Delaware
3883,3884,0.09727,1.7,0.0321,-4.8000002,2.8499999,3,1,18.97,DE,Delaware
3884,3885,0.09727,1.7,0.0367,-4.8000002,2.8499999,3,1,16.43,DE,Delaware
3885,3886,0.09727,1.7,0.0321,-4.8000002,2.8499999,3,1,18.97,DE,Delaware
3886,3887,0.09727,1.7,0.0399,-4.8000002,2.8499999,3,1,16.43,DE,Delaware
3892,3893,0.00997,1.7,0.0389,-4.8000002,2.8499999,3,1,16.43,DE,Delaware
3893,3894,0.00997,1.5599999,0.0372,-4.8000002,2.8499999,3,1,16.43,DE,Delaware
4008,4009,0.1254,1.5599999,0.0392,5,2.8499999,3,1,7.348469228,DE,Delaware
4009,4010,0.1254,1.5599999,0.0372,5,2.8499999,3,1,7.348469228,DE,Delaware
4010,4011,0.1254,1.5599999,0.0399,5,2.8,3,1,7.348469228,DE,Delaware
4011,4012,0.1254,1.5599999,0.042,5,2.8,3,1,7.348469228,DE,Delaware
4012,4013,0.1254,1.5599999,0.0413,5,2.8,3,1,7.348469228,DE,Delaware
4013,4014,0.1254,1.5599999,0.0413,5,2.75,3,1,7.348469228,DE,Delaware
4043,4044,0.02968,1.41,0.0442,5,2.75,3,1,7.348469228,DE,Delaware
4216,4217,0.15042,1.41,0.0442,5,2.7,3,1,7.348469228,DE,Delaware
4217,4218,0.15042,1.41,0.0469,5,2.7,3,1,7.348469228,DE,Delaware
4218,4219,0.15042,1.41,0.0491,5,2.7,3,1,7.348469228,DE,Delaware
4219,4220,0.15042,1.41,0.0518,5,2.6500001,3,1,7.348469228,DE,Delaware
4220,4221,0.15042,1.41,0.0526,5,2.6500001,3,1,7.348469228,DE,Delaware
4227,4228,0.01225,1.41,0.0524,5,2.6500001,3,1,7.348469228,DE,Delaware
4272,4273,0.09231,1.41,0.055,5,2.6500001,3,1,6,DE,Delaware
4273,4274,0.09231,1.26,0.0549,5,2.5999999,3,1,7.348469228,DE,Delaware
4274,4275,0.09231,1.26,0.0568,5,2.5999999,3,1,6,DE,Delaware
4281,4282,0.03296,1.26,0.0582,5,2.5999999,5,1,7.745966692,DE,Delaware
4282,4283,0.03296,1.26,0.0582,5,2.5999999,5,1,7.745966692,DE,Delaware
4288,4289,0.01841,1.26,0.0582,5,2.5999999,5,1,7.745966692,DE,Delaware
4289,4290,0.01841,1.26,0.0582,5,2.5999999,5,1,7.745966692,DE,Delaware
4292,4293,0.03059,1.26,0.0608,5,2.5999999,5,1,7.745966692,DE,Delaware
4293,4294,0.03059,1.26,0.0605,5,2.5999999,5,1,7.745966692,DE,Delaware
4296,4297,0.01953,1.26,0.0598,5,2.5999999,5,1,7.745966692,DE,Delaware
4297,4298,0.01953,1.26,0.0598,5,2.5999999,5,1,7.745966692,DE,Delaware
4298,4299,0.03022,1.26,0.0596,5,2.5999999,5,1,7.745966692,DE,Delaware
4338,4339,0.03117,1.26,0.0608,5,2.5999999,5,1,7.745966692,DE,Delaware
4342,4343,0.00672,1.26,0.0608,-1.7,2.5999999,5,1,15.49,DE,Delaware
4344,4345,0.00276,1.26,0.0608,-1.7,2.5999999,5,1,15.49,DE,Delaware
4363,4364,0.00729,1.26,0.0608,-1.7,2.5999999,5,1,15.49,DE,Delaware
4398,4399,0.02141,1.26,0.0609,-1.7,2.5999999,5,1,15.49,DE,Delaware
4409,4410,0.01424,1.26,0.061,-1.7,2.5999999,5,1,15.49,DE,Delaware
4417,4418,0.01325,1.26,0.061,0.6,2.5999999,5,1,13.42,DE,Delaware
4423,4424,0.00272,1.26,0.0589,0.6,2.5999999,4,1,12,DE,Delaware
4424,4425,0.00344,1.26,0.0589,0.6,2.5999999,4,1,12,DE,Delaware
4425,4426,0.00449,1.26,0.0589,-1.7,2.5999999,4,1,13.86,DE,Delaware
4426,4427,0.01289,1.26,0.0556,-1.7,2.5999999,4,1,13.86,DE,Delaware
4435,4436,0.03144,0.75,0.061,0.6,2.5999999,5,1,15,DE,Delaware
4436,4437,0.03144,0.75,0.0615,0.6,2.5999999,5,1,15,DE,Delaware
4437,4438,0.09526,0.75,0.0589,0.6,2.5999999,4,1,13.42,DE,Delaware
4438,4439,0.09526,0.75,0.0607,0.6,2.5999999,4,1,13.42,DE,Delaware
4448,4449,0.01309,0.75,0.0461,0.6,2.5999999,4,1,16.43,DE,Delaware
4449,4450,0.03325,0.75,0.0575,0.6,2.5999999,4,1,13.42,DE,Delaware
4450,4451,0.00331,0.75,0.0622,0.6,2.5999999,5,1,15,DE,Delaware
4451,4452,0.0046,0.75,0.0622,0.6,2.5999999,5,1,15,DE,Delaware
4452,4453,0.00243,0.75,0.0563,-0.9,2.5999999,4,1,13.42,DE,Delaware
4453,4454,0.00372,0.75,0.0563,-0.9,2.5999999,4,1,13.42,DE,Delaware
4460,4461,0.01128,0.75,0.0622,-0.9,2.5999999,5,1,15,DE,Delaware
4463,4464,0.05617,0.75,0.0461,-0.9,2.5999999,4,1,16.43,DE,Delaware
4464,4465,0.05617,0.75,0.0541,-0.9,2.5999999,4,1,16.43,DE,Delaware
4465,4466,0.05617,0.75,0.0563,-0.9,2.6500001,4,1,13.42,DE,Delaware
4468,4469,0.02875,0.75,0.0563,-0.9,2.5999999,4,1,13.42,DE,Delaware
4469,4470,0.02875,0.75,0.0563,-0.9,2.6500001,4,1,13.42,DE,Delaware
4486,4487,0.07603,0.75,0.0461,-0.9,2.6500001,4,1,16.43,DE,Delaware
4487,4488,0.07603,0.75,0.0461,-0.9,2.6500001,4,1,16.43,DE,Delaware
4488,4489,0.07603,0.75,0.0543,-0.9,2.6500001,4,1,16.43,DE,Delaware
4496,4497,0.05026,0.75,0.0622,-0.9,2.5999999,5,1,15,DE,Delaware
4497,4498,0.05026,0.75,0.0621,-0.9,2.6500001,5,1,15,DE,Delaware
4500,4501,0.0576,0.75,0.0622,-0.9,2.6500001,4,1,13.42,DE,Delaware
4501,4502,0.0576,0.75,0.062,-0.9,2.6500001,4,1,13.42,DE,Delaware
4504,4505,0.06906,0.75,0.0557,-0.9,2.6500001,4,1,13.42,DE,Delaware
4505,4506,0.06906,0.75,0.0582,-0.9,2.6500001,4,1,13.42,DE,Delaware
4506,4507,0.01083,0.75,0.0534,-0.9,2.6500001,4,1.1,18.97,DE,Delaware
4507,4508,0.00338,0.75,0.0534,-0.9,2.6500001,4,1.1,18.97,DE,Delaware
4508,4509,0.00529,0.75,0.0617,-2.3,2.6500001,5,1.1,22.36,DE,Delaware
4509,4510,0.01388,0.75,0.0534,-0.9,2.6500001,4,1.1,18.97,DE,Delaware
4511,4512,0.00253,0.75,0.0421,-0.9,2.6500001,4,1.1,18.97,DE,Delaware
4512,4513,0.00921,0.75,0.0534,-2.3,2.6500001,4,1.1,24.49,DE,Delaware
4513,4514,0.00601,0.75,0.0617,-2.3,2.6500001,5,1.1,22.36,DE,Delaware
4517,4518,0.02143,0.75,0.0421,-2.3,2.6500001,4,1.1,24.49,DE,Delaware
4518,4519,0.02143,0.75,0.0458,-2.3,2.6500001,4,1.1,24.49,DE,Delaware
4537,4538,0.08268,0.75,0.0421,-2.3,2.6500001,4,1.1,24.49,DE,Delaware
4538,4539,0.08268,0.75,0.0324,-2.3,2.6500001,4,1.1,28.28,DE,Delaware
4539,4540,0.08268,0.75,0.0409,-2.3,2.6500001,4,1.1,24.49,DE,Delaware
4542,4543,0.0307,0.75,0.0318,-2.3,2.6500001,4,1.1,28.28,DE,Delaware
4550,4551,0.03091,0.75,0.0317,-2.3,2.6500001,4,1.1,28.28,DE,Delaware
4553,4554,0.05646,0.75,0.0617,-2.3,2.6500001,4,1.1,20,DE,Delaware
4554,4555,0.05646,0.75,0.0617,-2.3,2.7,4,1.1,20,DE,Delaware
4555,4556,0.01697,0.75,0.0534,-2.3,2.7,4,1.1,24.49,DE,Delaware
4556,4557,0.06831,0.75,0.0283,-2.3,2.6500001,4,1.1,28.28,DE,Delaware
4559,4560,0.00458,0.75,0.0534,-2.3,2.7,4,1.1,24.49,DE,Delaware
4567,4568,0.07571,0.75,0.0323,-2.3,2.7,4,1.1,28.28,DE,Delaware
4568,4569,0.07571,0.75,0.0398,-2.3,2.7,4,1.1,24.49,DE,Delaware
4569,4570,0.07714,0.75,0.0419,-2.3,2.7,4,1.1,24.49,DE,Delaware
4570,4571,0.07714,0.75,0.0505,-2.3,2.6500001,4,1.1,24.49,DE,Delaware
4571,4572,0.01069,0.75,0.0416,0.9,2.7,4,1.1,18.97,DE,Delaware
4572,4573,0.03435,0.75,0.0528,-2.3,2.7,4,1.1,24.49,DE,Delaware
4573,4574,0.03435,0.75,0.0523,-2.3,2.7,4,1.1,24.49,DE,Delaware
4574,4575,0.02728,0.75,0.0611,-2.3,2.7,4,1.1,20,DE,Delaware
4575,4576,0.052,0.75,0.0617,-2.3,2.6500001,5,1.1,22.36,DE,Delaware
4576,4577,0.052,0.75,0.0608,-2.3,2.7,5,1.1,22.36,DE,Delaware
4586,4587,0.02007,0.75,0.0575,0.9,2.7,4,1.1,15.49,DE,Delaware
4594,4595,0.05586,0.75,0.0321,0.9,2.7,4,1.1,21.91,DE,Delaware
4595,4596,0.05586,0.75,0.0375,0.9,2.7,4,1.1,18.97,DE,Delaware
4596,4597,0.05586,0.75,0.0321,0.9,2.7,4,1.1,21.91,DE,Delaware
4597,4598,0.05586,0.75,0.0378,0.9,2.7,4,1.1,18.97,DE,Delaware
4599,4600,0.02751,0.75,0.0596,0.9,2.7,5,1.1,17.32,DE,Delaware
4600,4601,0.02751,0.75,0.0596,0.9,2.7,5,1.1,17.32,DE,Delaware
4601,4602,0.02751,0.75,0.0596,0.9,2.7,5,1.1,17.32,DE,Delaware
4603,4604,0.00329,0.75,0.0596,0.9,2.7,5,1.1,17.32,DE,Delaware
4632,4633,0.03706,0.75,0.0584,0.9,2.7,5,1.1,17.32,DE,Delaware
4640,4641,0.00831,0.75,0.0578,0.9,2.75,5,1.1,17.32,DE,Delaware
4644,4645,0.03983,0.47,0.0583,-0.7,2.75,5,1.1,17.32,DE,Delaware
4677,4678,0.03721,0.47,0.0583,-0.7,2.8,5,1.1,17.32,DE,Delaware
