FID,NEWID,LENGTH,TIDE_M,SLOPE_PCT,ERR_M_YR,SL_MM_YR_,GEOM,WAVES_M,CVIVALUE,StateAbbr,FullState
10360,10363,0.00368,1.8,0.0195,5,2.45,3,1.1,8.94427191,FL,Florida
10361,10364,0.00368,1.8,0.0195,5,2.45,3,1.1,8.94427191,FL,Florida
10362,10365,0.0335,1.8,0.0195,5,2.45,3,1.1,8.94427191,FL,Florida
10363,10366,0.0187,1.8,0.0174,5,2.45,3,1.1,8.94427191,FL,Florida
10364,10367,0.0137,1.9,0.0195,5,2.45,3,1.1,8.94427191,FL,Florida
10365,10368,0.00503,1.8200001,0.0164,5,2.45,3,1.1,8.94427191,FL,Florida
10366,10369,0.0061,1.8200001,0.0164,5,2.45,3,1.1,8.94427191,FL,Florida
10367,10370,0.00761,1.9,0.0195,5,2.45,3,1.1,8.94427191,FL,Florida
10368,10371,0.00384,1.8200001,0.0164,5,2.45,3,1.1,8.94427191,FL,Florida
10369,10372,0.00384,1.8200001,0.0164,5,2.45,3,1.1,8.94427191,FL,Florida
10370,10373,0.00435,1.85,0.0172,5,2.45,3,1.1,8.94427191,FL,Florida
10371,10374,0.00301,1.8200001,0.0175,5,2.45,3,1.1,8.94427191,FL,Florida
10372,10375,0.03512,1.9,0.0195,5,2.45,3,1.1,8.94427191,FL,Florida
10373,10376,0.03512,1.9,0.0206,5,2.45,3,1.1,8.94427191,FL,Florida
10374,10377,0.02935,1.8200001,0.0164,5,2.45,4,1.1,10.33,FL,Florida
10375,10378,0.02935,1.92,0.018,5,2.45,4,1.1,10.33,FL,Florida
10376,10379,0.07721,1.92,0.0164,5,2.45,4,1.1,10.33,FL,Florida
10377,10380,0.07721,1.92,0.0187,5,2.45,4,1.1,10.33,FL,Florida
10378,10381,0.04908,1.8200001,0.0168,5,2.45,5,1.1,11.55,FL,Florida
10379,10382,0.04908,1.85,0.0184,5,2.45,5,1.1,11.55,FL,Florida
10380,10383,0.03126,1.85,0.0192,5,2.45,5,1.1,11.55,FL,Florida
10381,10384,0.01824,1.85,0.0186,5,2.45,5,1.1,11.55,FL,Florida
10382,10385,0.06267,1.92,0.0217,5,2.45,5,1.1,11.55,FL,Florida
10383,10386,0.06267,1.92,0.0194,5,2.45,5,1.1,11.55,FL,Florida
10384,10387,0.0529,1.85,0.0172,5,2.45,5,1.1,11.55,FL,Florida
10385,10388,0.0529,1.85,0.0191,5,2.45,5,1.1,11.55,FL,Florida
10386,10389,0.0529,1.85,0.0221,5,2.45,5,1.1,10.33,FL,Florida
10387,10390,0.00605,1.9400001,0.0186,-0.3,2.45,4,1.1,17.89,FL,Florida
10388,10391,0.00605,1.85,0.0186,-0.3,2.45,4,1.1,17.89,FL,Florida
10389,10392,0.03655,1.85,0.0172,5,2.45,3,1.1,8.94427191,FL,Florida
10390,10393,0.03655,1.85,0.019,5,2.45,3,1.1,8.94427191,FL,Florida
10391,10394,0.00322,1.85,0.0193,5,2.45,3,1.1,8.94427191,FL,Florida
10392,10395,0.03206,1.92,0.0186,5,2.45,3,1.1,8.94427191,FL,Florida
10393,10396,0.00981,1.9400001,0.0186,-0.3,2.45,4,1.1,17.89,FL,Florida
10394,10397,0.0091,1.85,0.0232,5,2.45,5,1.1,10.33,FL,Florida
10395,10398,0.03309,1.9400001,0.0186,-0.3,2.45,4,1.1,17.89,FL,Florida
10396,10399,0.02761,1.83,0.0186,-0.3,2.45,3,1.1,15.49,FL,Florida
10397,10400,0.02761,1.9400001,0.0195,-0.3,2.45,3,1.1,15.49,FL,Florida
10398,10401,0.00823,1.9400001,0.0224,-0.3,2.45,3,1.1,13.86,FL,Florida
10399,10402,0.00823,1.9400001,0.0224,-0.3,2.45,3,1.1,13.86,FL,Florida
10400,10403,0.02533,1.83,0.0224,-0.3,2.45,3,1.1,13.86,FL,Florida
10401,10404,0.00202,1.83,0.0224,-0.8,2.45,3,1.1,13.86,FL,Florida
10402,10405,0.07335,1.85,0.0193,-0.3,2.45,3,1.1,15.49,FL,Florida
10403,10406,0.07335,1.83,0.022,-0.3,2.45,3,1.1,13.86,FL,Florida
10404,10407,0.00323,1.83,0.0227,-0.3,2.45,3,1.1,13.86,FL,Florida
10405,10408,0.05109,1.85,0.0232,-0.3,2.45,5,1.1,17.89,FL,Florida
10406,10409,0.05109,1.66,0.0253,-0.3,2.45,5,1.1,17.89,FL,Florida
10407,10410,0.01155,1.83,0.0227,-0.8,2.45,3,1.1,13.86,FL,Florida
10408,10411,0.01716,1.83,0.0224,-0.8,2.45,3,1.1,13.86,FL,Florida
