FID,NEWID,LENGTH,TIDE_M,SLOPE_PCT,ERR_M_YR,SL_MM_YR_,GEOM,WAVES_M,CVIVALUE,StateAbbr,FullState
9703,9704,0.00782,2.22,0.0228,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9704,9705,0.00782,2.22,0.0228,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9705,9706,0.00966,2.3,0.0228,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9706,9707,0.02609,2.22,0.0228,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9707,9708,0.02609,2.3,0.0228,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9708,9709,0.02659,2.3,0.0229,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9709,9710,0.02659,2.3,0.0229,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9710,9711,0.01568,2.3,0.0228,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9711,9712,0.01572,2.3,0.0228,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9715,9716,0.03275,2.3,0.0232,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9716,9717,0.03275,2.3,0.023,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9717,9718,0.13466,2.3399999,0.024,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9718,9719,0.13466,2.3399999,0.024,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9719,9720,0.13466,2.3399999,0.024,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9720,9721,0.13466,2.3399999,0.0233,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9721,9722,0.0504,2.1300001,0.0247,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9723,9724,0.05693,2.3,0.0246,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9726,9727,0.00247,2.0999999,0.0306,-1.2,3.1500001,3,1.1,19.6,GA,Georgia
9727,9728,0.00247,2.0999999,0.0306,-1.2,3.1500001,3,1.1,19.6,GA,Georgia
9728,9729,0.03561,2.1300001,0.0271,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9729,9730,0.03561,2.1300001,0.0271,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9730,9731,0.03561,2.0999999,0.0271,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9731,9732,0.01071,2.0999999,0.0306,-1.2,3.1500001,3,1.1,19.6,GA,Georgia
9732,9733,0.01946,2.1300001,0.0271,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9733,9734,0.01946,2.1300001,0.0271,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9734,9735,0.01946,2.0999999,0.0271,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9735,9736,0.02779,2.0999999,0.0306,-1.2,3.1500001,5,0,12.65,GA,Georgia
9736,9737,0.02779,2.0999999,0.0306,-1.2,3.1500001,5,1.1,25.3,GA,Georgia
9737,9738,0.03946,2.0999999,0.0301,-1.2,3.1500001,3,1.1,19.6,GA,Georgia
9738,9739,0.03946,2.0999999,0.0306,-1.2,3.1500001,3,1.1,19.6,GA,Georgia
9739,9740,0.00816,2.0999999,0.0271,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9740,9741,0.0282,2.0999999,0.0283,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9741,9742,0.02579,2.0999999,0.0306,-1.2,3.1500001,3,1.1,19.6,GA,Georgia
9742,9743,0.02579,2.0999999,0.0306,-1.2,3.1500001,3,1.1,19.6,GA,Georgia
9743,9744,0.01572,2.0999999,0.0278,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9744,9745,0.02418,2.0999999,0.0312,-1.2,3.1500001,3,1.1,19.6,GA,Georgia
9745,9746,0.02418,2.0999999,0.0317,-1.2,3.1500001,3,1.1,19.6,GA,Georgia
9746,9747,0.01918,2.0999999,0.0326,-0.7,3.1500001,3,1.1,16.97,GA,Georgia
9747,9748,0.01918,2.0999999,0.0326,-0.7,3.1500001,3,1.1,16.97,GA,Georgia
9748,9749,0.00983,2.0999999,0.0313,-0.7,3.1500001,3,1.1,16.97,GA,Georgia
9749,9750,0.01026,2.0999999,0.0317,-0.7,3.1500001,3,1.1,16.97,GA,Georgia
9750,9751,0.0094,2.0999999,0.0319,-0.7,3.1500001,3,1.1,16.97,GA,Georgia
9751,9752,0.0042,2.0999999,0.0326,-0.7,3.1500001,3,1.1,16.97,GA,Georgia
9752,9753,0.00513,2.0999999,0.0326,-0.7,3.1500001,3,1.1,16.97,GA,Georgia
9753,9754,0.00361,2.0999999,0.0326,-0.7,3.1500001,3,1.1,16.97,GA,Georgia
9754,9755,0.00508,2.0999999,0.0326,-0.7,3.1500001,3,1.1,16.97,GA,Georgia
9755,9756,0.01293,2.0999999,0.0326,-0.7,3.1500001,3,1.1,16.97,GA,Georgia
9756,9757,0.00363,2.0999999,0.0326,-0.7,3.1500001,5,1.1,21.91,GA,Georgia
9757,9758,0.00594,2.0999999,0.0326,-0.7,3.1500001,5,1.1,21.91,GA,Georgia
9758,9759,0.00594,2.0999999,0.0326,-0.7,3.1500001,5,1.1,21.91,GA,Georgia
9759,9760,0.02968,2.3,0.025,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9760,9761,0.0045,2.0999999,0.0326,-0.7,3.1500001,5,1.1,21.91,GA,Georgia
9761,9762,0.00606,2.3,0.026,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9762,9763,0.02039,2.3,0.026,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9763,9764,0.0045,2.3,0.026,2.9000001,3.1500001,3,0.7,6.92820323,GA,Georgia
9764,9765,0.04084,2.0999999,0.0297,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9765,9766,0.04084,2.0999999,0.0297,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9766,9767,0.05216,2.0999999,0.0271,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9767,9768,0.05216,2.0999999,0.03,-1.2,3.1500001,3,0.7,13.86,GA,Georgia
9768,9769,0.01459,2.0999999,0.0326,-0.7,3.1500001,5,1.1,21.91,GA,Georgia
9769,9770,0.01235,2.3,0.026,2.9000001,3.1500001,3,0.7,6.92820323,GA,Georgia
9770,9771,0.01214,2.3,0.026,2.9000001,3.1500001,3,0.7,6.92820323,GA,Georgia
