FID,NEWID,LENGTH,TIDE_M,SLOPE_PCT,ERR_M_YR,SL_MM_YR_,GEOM,WAVES_M,CVIVALUE,StateAbbr,FullState
12516,12884,0.05749,0.48,0.0244,0,9.3000002,5,0.5,15.81,LA,Louisiana
12517,12885,0.07423,0.481,0.0241,0,9.2559996,5,0.5,15.81,LA,Louisiana
12521,12889,0.04683,0.43,0.0181,0,10,5,0.5,17.68,LA,Louisiana
12522,12890,0.0648,0.46,0.0134,0,9.5,5,0.7,25,LA,Louisiana
12523,12891,0.03116,0.46,0.0138,0,9.5,5,0.7,25,LA,Louisiana
12524,12892,0.03756,0.46,0.0148,0,9.5,5,0.7,25,LA,Louisiana
12525,12893,0.06918,0.414,0.023,0,10.2469997,5,0.5,15.81,LA,Louisiana
12526,12894,0.05065,0.426,0.0207,0,10.0550003,5,0.5,17.68,LA,Louisiana
12527,12895,0.06667,0.414,0.0194,0,10.2469997,5,0.5,17.68,LA,Louisiana
12528,12896,0.01304,0.44,0.0157,0,10,5,0.5,17.68,LA,Louisiana
12529,12897,0.05561,0.44,0.0142,0,10,5,0.5,17.68,LA,Louisiana
12530,12898,0.02826,0.45,0.0134,0,9.7329998,5,0.5,17.68,LA,Louisiana
12531,12899,0.1309,0.452,0.0135,0,9.6590004,5,0.7,25,LA,Louisiana
12532,12900,0.05302,0.453,0.014,0,9.6389999,5,0.7,25,LA,Louisiana
12533,12901,0.05409,0.41,0.024,0,10.3000002,5,0.5,15.81,LA,Louisiana
12534,12902,0.03648,0.41,0.0227,0,10.3000002,5,0.5,15.81,LA,Louisiana
12535,12903,0.06038,0.436,0.0182,0,10.04,5,0.5,17.68,LA,Louisiana
12536,12904,0.01543,0.45,0.014,0,9.6999998,5,0.7,25,LA,Louisiana
12537,12905,0.09243,0.45,0.0128,0,9.6999998,5,0.7,25,LA,Louisiana
12538,12906,0.04931,0.444,0.012,0,9.6689997,5,0.7,25,LA,Louisiana
12539,12907,0.02634,0.41,0.0241,0,10.3000002,5,0.5,15.81,LA,Louisiana
12540,12908,0.05076,0.41,0.0237,0,10.3000002,5,0.5,15.81,LA,Louisiana
12541,12909,0.08595,0.41,0.0241,0,10.3000002,5,0.5,15.81,LA,Louisiana
12542,12910,0.0533,0.42,0.021,0,10.1999998,5,0.5,17.68,LA,Louisiana
12543,12911,0.11227,0.44,0.0122,0,9.6499996,5,0.7,25,LA,Louisiana
12544,12912,0.10087,0.43,0.0107,0,9.6000004,5,0.7,25,LA,Louisiana
12545,12913,0.014,0.412,0.0258,0,10.2799997,5,0.5,15.81,LA,Louisiana
12546,12914,0.05347,0.42,0.0272,0,10.1999998,5,0.5,15.81,LA,Louisiana
12547,12915,0.05208,0.42,0.0256,0,10.1999998,5,0.5,15.81,LA,Louisiana
12548,12916,0.02167,0.42,0.0217,0,10.1999998,5,0.5,17.68,LA,Louisiana
12549,12917,0.1038,0.43,0.0096,0,9.6000004,5,0.7,25,LA,Louisiana
12550,12918,0.05166,0.43,0.0081,0,9.6000004,5,0.7,25,LA,Louisiana
12551,12919,0.08427,0.417,0.0123,-8,10.1000004,5,0.7,32.27,LA,Louisiana
12552,12920,0.03423,0.415,0.009,-8,10.1000004,5,0.7,32.27,LA,Louisiana
12553,12921,0.06831,0.423,0.0081,-8,9.7670002,5,0.7,32.27,LA,Louisiana
12554,12922,0.00344,0.43,0.0076,-8,9.6000004,5,0.7,32.27,LA,Louisiana
12555,12923,0.05532,0.42,0.0153,-8,10.1000004,5,0.7,32.27,LA,Louisiana
12556,12924,0.00692,0.42,0.0122,-8,10.1000004,5,0.7,32.27,LA,Louisiana
12557,12925,0.0775,0.41,0.0082,-8,10.1000004,5,0.7,32.27,LA,Louisiana
12558,12926,0.08271,0.41,0.0068,-8,10.1000004,5,0.7,32.27,LA,Louisiana
12559,12927,0.00785,0.41,0.0062,-8,10.1000004,5,0.7,32.27,LA,Louisiana
12560,12928,0.00416,0.39,0.0243,-8,10.5,5,0.8,28.87,LA,Louisiana
12561,12929,0.02404,0.39,0.0243,-8,10.5,5,0.8,28.87,LA,Louisiana
12562,12930,0.01389,0.39,0.0199,-8,10.5,5,0.8,32.27,LA,Louisiana
12563,12931,0.07714,0.396,0.0194,-8,10.4160004,5,0.8,32.27,LA,Louisiana
12564,12932,0.02367,0.42,0.0151,-8,10.1000004,5,0.8,32.27,LA,Louisiana
12565,12933,0.00007,0.39,0.0243,-8,10.5,5,0.8,28.87,LA,Louisiana
