FID,NEWID,LENGTH,TIDE_M,SLOPE_PCT,ERR_M_YR,SL_MM_YR_,GEOM,WAVES_M,CVIVALUE,StateAbbr,FullState
1107,1108,0.00239,2.46,0.2031,-2.5,1.15,5,1.2,7.071067812,MA,Massachussets
1108,1109,0.00239,2.46,0.2031,-2.5,1.15,5,1.2,7.071067812,MA,Massachussets
1109,1110,0.02106,2.46,0.2031,-2.5,1.15,5,1.2,7.071067812,MA,Massachussets
1110,1111,0.03844,2.46,0.1907,-2.5,1.15,4,1.2,6.32455532,MA,Massachussets
1111,1112,0.06935,2.46,0.1661,-2.5,1.15,4,1.2,6.32455532,MA,Massachussets
1112,1113,0.06935,2.46,0.1762,-2.5,1.15,4,1.2,6.32455532,MA,Massachussets
1113,1114,0.01999,2.46,0.189,-2.5,1.15,5,1.2,7.071067812,MA,Massachussets
1114,1115,0.01999,2.46,0.189,-2.5,1.15,5,1.2,7.071067812,MA,Massachussets
1115,1116,0.01371,2.46,0.189,-2.5,1.15,5,1.2,7.071067812,MA,Massachussets
1116,1117,0.01371,2.46,0.189,-2.5,1.15,5,1.2,7.071067812,MA,Massachussets
1117,1118,0.04045,2.46,0.1635,-2.5,1.15,4,1.2,6.32455532,MA,Massachussets
1118,1119,0.04045,2.46,0.1635,-2.5,1.15,4,1.2,6.32455532,MA,Massachussets
1119,1120,0.04045,2.46,0.172,-2.5,1.15,4,1.2,6.32455532,MA,Massachussets
1120,1121,0.02376,2.46,0.189,-2.5,1.15,4,1.2,6.32455532,MA,Massachussets
1121,1122,0.02567,2.46,0.1843,-0.8,1.15,5,1.2,5.477225575,MA,Massachussets
1122,1123,0.00413,2.46,0.1703,-0.8,1.3,5,1.2,5.477225575,MA,Massachussets
1123,1124,0.01985,2.46,0.1703,-0.8,1.3,5,1.2,5.477225575,MA,Massachussets
1124,1125,0.01985,2.46,0.1941,-0.8,1.3,5,1.2,5.477225575,MA,Massachussets
1125,1126,0.01864,2.46,0.206,-0.8,1.3,5,1.2,5.477225575,MA,Massachussets
1126,1127,0.04773,2.46,0.1703,-0.8,1.3,3,1.2,4.242640687,MA,Massachussets
1127,1128,0.02028,2.46,0.2075,-0.8,1.3,5,1.2,5.477225575,MA,Massachussets
1128,1129,0.02104,2.46,0.1703,-0.8,1.3,3,1.2,4.242640687,MA,Massachussets
1129,1130,0.02104,2.46,0.1785,-0.8,1.3,3,1.2,4.242640687,MA,Massachussets
1130,1131,0.01994,2.46,0.2098,-0.8,1.3,5,1.2,5.477225575,MA,Massachussets
1131,1132,0.04885,2.46,0.1674,-0.8,1.3,3,1.2,4.242640687,MA,Massachussets
1132,1133,0.04885,2.46,0.1671,-0.8,1.3,3,1.2,4.242640687,MA,Massachussets
1133,1134,0.02542,2.46,0.2098,-0.8,1.3,3,1.2,4.242640687,MA,Massachussets
1134,1135,0.02542,2.46,0.2098,-0.8,1.3,3,1.2,4.242640687,MA,Massachussets
1135,1136,0.02852,2.46,0.1671,-0.8,1.3,3,1.2,4.242640687,MA,Massachussets
1136,1137,0.02852,2.46,0.1671,-0.8,1.3,3,1.2,4.242640687,MA,Massachussets
1137,1138,0.02852,2.46,0.1831,-0.8,1.3,3,1.2,4.242640687,MA,Massachussets
1138,1139,0.02425,2.46,0.2098,-0.5,1.3,3,1.2,4.242640687,MA,Massachussets
1139,1140,0.02136,2.46,0.2098,-0.5,1.4,5,1.2,5.477225575,MA,Massachussets
1140,1141,0.01265,2.46,0.2378,-0.5,1.4,5,1.2,5.477225575,MA,Massachussets
1141,1142,0.03057,2.46,0.2117,-0.5,1.4,3,1.2,4.242640687,MA,Massachussets
1142,1143,0.00458,2.74,0.2129,-0.5,1.4,3,1.2,4.242640687,MA,Massachussets
1143,1144,0.01633,2.46,0.2509,-0.5,1.4,5,1.2,5.477225575,MA,Massachussets
1144,1145,0.01286,2.74,0.238,-0.5,1.4,3,1.2,4.242640687,MA,Massachussets
1145,1146,0.00716,2.74,0.2505,-0.5,1.4,1,1.2,2.449489743,MA,Massachussets
1146,1147,0.00716,2.74,0.2505,-0.5,1.4,1,1.2,2.449489743,MA,Massachussets
1147,1148,0.01603,2.74,0.2505,-0.5,1.4,1,1.2,2.449489743,MA,Massachussets
1148,1149,0.01603,2.74,0.2505,-0.5,1.4,1,1.2,2.449489743,MA,Massachussets
1149,1150,0.00702,2.74,0.2588,-0.5,1.4,1,1.2,2.449489743,MA,Massachussets
1150,1151,0.00206,2.74,0.2129,-0.5,1.4,3,1.2,4.242640687,MA,Massachussets
1151,1152,0.01389,2.74,0.2505,-0.5,1.4,3,1.2,4.242640687,MA,Massachussets
1152,1153,0.01389,2.74,0.2505,-0.5,1.4,3,1.2,4.242640687,MA,Massachussets
1153,1154,0.00351,2.74,0.2505,-0.5,1.4,3,1.2,4.242640687,MA,Massachussets
1154,1155,0.02944,2.74,0.2129,-0.5,1.4,3,1.2,4.242640687,MA,Massachussets
1155,1156,0.02944,2.74,0.2129,-0.5,1.4,3,1.2,4.242640687,MA,Massachussets
1156,1157,0.00531,2.74,0.267,-0.5,1.4,1,1.2,2.449489743,MA,Massachussets
1157,1158,0.0101,2.74,0.2129,-0.5,1.4,3,1.2,4.242640687,MA,Massachussets
1158,1159,0.0101,2.74,0.2129,-0.5,1.4,3,1.2,4.242640687,MA,Massachussets
1159,1160,0.0202,2.74,0.2129,-0.5,1.4,3,1.2,4.242640687,MA,Massachussets
1160,1161,0.01572,2.74,0.2588,-0.5,1.4,1,1.2,2.449489743,MA,Massachussets
1161,1162,0.0397,2.74,0.2368,-0.5,1.4,3,1.2,4.242640687,MA,Massachussets
1162,1163,0.0788,2.74,0.2674,-0.5,1.35,1,1.2,2.449489743,MA,Massachussets
1163,1164,0.0788,2.74,0.267,-0.5,1.4,1,1.2,2.449489743,MA,Massachussets
1164,1165,0.01698,2.74,0.2604,-0.5,1.4,1,1.2,2.449489743,MA,Massachussets
1165,1166,0.14546,2.46,0.2713,-0.5,1.35,1,1.2,2.449489743,MA,Massachussets
1166,1167,0.14546,2.46,0.2651,-0.5,1.35,1,1.2,2.449489743,MA,Massachussets
1167,1168,0.14546,2.74,0.2609,-0.5,1.35,1,1.2,2.449489743,MA,Massachussets
1168,1169,0.14546,2.74,0.2588,-0.5,1.4,1,1.2,2.449489743,MA,Massachussets
1169,1170,0.14546,2.74,0.2609,-0.5,1.35,1,1.2,2.449489743,MA,Massachussets
1170,1171,0.01569,2.74,0.2441,-0.5,1.4,1,1.2,2.449489743,MA,Massachussets
1171,1172,0.0522,2.74,0.2461,-0.5,1.4,1,1.2,2.449489743,MA,Massachussets
1172,1173,0.0522,2.74,0.2461,-0.5,1.45,1,1.2,2.449489743,MA,Massachussets
1173,1174,0.04507,2.74,0.2441,-0.5,1.4,1,1.2,2.449489743,MA,Massachussets
1174,1175,0.04507,2.74,0.2461,-0.5,1.45,1,1.2,2.449489743,MA,Massachussets
1175,1176,0.04507,2.74,0.2451,-0.5,1.45,1,1.2,2.449489743,MA,Massachussets
1176,1177,0.00653,2.74,0.2461,-0.5,1.45,1,1.2,2.449489743,MA,Massachussets
1177,1178,0.05543,2.74,0.2461,-0.5,1.4,1,1.2,2.449489743,MA,Massachussets
1178,1179,0.05543,2.74,0.2314,-0.5,1.45,1,1.2,2.449489743,MA,Massachussets
1179,1180,0.05543,2.74,0.2436,-0.5,1.45,1,1.2,2.449489743,MA,Massachussets
1180,1181,0.01355,2.74,0.2314,-0.5,1.5,1,1.2,2.449489743,MA,Massachussets
1181,1182,0.03358,2.74,0.2207,-0.5,1.5,1,1.2,2.449489743,MA,Massachussets
1182,1183,0.08312,2.74,0.1941,-0.5,1.6,1,1.2,2.449489743,MA,Massachussets
1183,1184,0.08312,2.74,0.2034,-0.5,1.55,1,1.2,2.449489743,MA,Massachussets
1184,1185,0.08312,2.74,0.1941,-0.5,1.6,1,1.2,2.449489743,MA,Massachussets
1185,1186,0.00998,2.74,0.1941,-0.5,1.6,1,1.2,2.449489743,MA,Massachussets
1186,1187,0.06203,2.74,0.1789,-0.5,1.6,1,1.2,2.449489743,MA,Massachussets
1187,1188,0.06203,2.74,0.1865,-0.5,1.6,1,1.2,2.449489743,MA,Massachussets
1188,1189,0.0824,2.74,0.1623,-0.5,1.6,1,1.2,2.449489743,MA,Massachussets
1189,1190,0.0824,2.74,0.1748,-0.5,1.6,1,1.2,2.449489743,MA,Massachussets
1190,1191,0.01259,2.74,0.1789,-0.5,1.6,1,1.2,2.449489743,MA,Massachussets
1191,1192,0.00484,2.74,0.1789,-0.5,1.6,1,1.2,2.449489743,MA,Massachussets
1192,1193,0.00583,2.74,0.1843,-0.5,1.6,1,1.2,2.449489743,MA,Massachussets
1193,1194,0.00597,2.74,0.1843,-0.5,1.6,1,1.2,2.449489743,MA,Massachussets
1194,1195,0.03095,2.74,0.1816,-0.5,1.6,1,1.2,2.449489743,MA,Massachussets
1195,1196,0.01291,2.74,0.1843,-0.5,1.6,1,1.2,2.449489743,MA,Massachussets
1196,1197,0.00947,2.74,0.1843,-0.5,1.6,1,1.2,2.449489743,MA,Massachussets
1197,1198,0.00438,2.74,0.1843,-0.5,1.65,1,1.2,2.449489743,MA,Massachussets
1198,1199,0.00554,2.74,0.1843,-0.5,1.65,1,1.2,2.449489743,MA,Massachussets
1199,1200,0.00554,2.74,0.1843,-0.5,1.65,1,1.2,2.449489743,MA,Massachussets
1200,1201,0.02402,2.74,0.1843,-0.5,1.65,1,1.2,2.449489743,MA,Massachussets
1201,1202,0.06808,2.74,0.1843,-0.5,1.65,1,1.2,2.449489743,MA,Massachussets
1202,1203,0.06808,2.74,0.1954,-0.5,1.6,1,1.2,2.449489743,MA,Massachussets
1203,1204,0.01312,2.74,0.1835,-0.5,1.65,3,1.2,4.242640687,MA,Massachussets
1204,1205,0.05395,2.8099999,0.1659,-0.5,1.7,3,1.2,4.242640687,MA,Massachussets
1205,1206,0.05395,2.8099999,0.1771,-0.5,1.7,3,1.2,4.242640687,MA,Massachussets
1206,1207,0.02689,2.8099999,0.1659,-0.5,1.7,3,1.2,4.242640687,MA,Massachussets
1207,1208,0.02689,2.8099999,0.1659,-0.5,1.7,3,1.2,4.242640687,MA,Massachussets
1208,1209,0.00881,2.8099999,0.1659,-0.5,1.7,3,1.2,4.242640687,MA,Massachussets
1209,1210,0.06238,2.8099999,0.1578,-0.5,1.7,3,1.2,4.242640687,MA,Massachussets
1210,1211,0.06238,2.8099999,0.1628,-0.5,1.7,3,1.2,4.242640687,MA,Massachussets
1211,1212,0.08742,2.8099999,0.168,-0.5,1.7,3,1.2,4.242640687,MA,Massachussets
1212,1213,0.05108,2.8099999,0.1637,-0.5,1.7,3,1.2,4.242640687,MA,Massachussets
1213,1214,0.05108,2.9100001,0.1637,-0.5,1.7,3,1.2,4.242640687,MA,Massachussets
1214,1215,0.01009,2.9100001,0.1583,-0.5,1.7,3,1.2,4.242640687,MA,Massachussets
1215,1216,0.01044,2.9100001,0.1637,-0.5,1.7,3,1.2,4.242640687,MA,Massachussets
1216,1217,0.02485,2.9100001,0.1643,-0.5,1.7,3,1.1,4.242640687,MA,Massachussets
1217,1218,0.0315,2.9100001,0.1562,-0.5,1.7,3,1.1,4.242640687,MA,Massachussets
1218,1219,0.00581,2.9100001,0.1572,-0.5,1.7,3,1.1,4.242640687,MA,Massachussets
1219,1220,0.01305,2.9100001,0.1596,-0.5,1.7,3,1.1,4.242640687,MA,Massachussets
1220,1221,0.00384,2.9100001,0.1667,-0.5,1.7,3,1.1,4.242640687,MA,Massachussets
1221,1222,0.00384,2.9100001,0.1667,-0.5,1.7,3,1.1,4.242640687,MA,Massachussets
1222,1223,0.02409,2.9100001,0.1572,-0.5,1.7,3,1.1,4.242640687,MA,Massachussets
1223,1224,0.02409,2.9100001,0.1604,-0.5,1.7,3,1.1,4.242640687,MA,Massachussets
1224,1225,0.09114,2.9100001,0.1662,-0.5,1.7,3,1.1,4.242640687,MA,Massachussets
1225,1226,0.09114,2.9100001,0.1667,-0.5,1.7,3,1.1,4.242640687,MA,Massachussets
1226,1227,0.01233,2.9100001,0.1667,-0.5,1.7,3,1.1,4.242640687,MA,Massachussets
1227,1228,0.00611,2.9100001,0.1667,-0.5,1.7,3,1.1,4.242640687,MA,Massachussets
1228,1229,0.06737,2.9100001,0.1523,-0.5,1.7,3,1.1,4.242640687,MA,Massachussets
1229,1230,0.06737,2.9100001,0.1572,-0.5,1.7,3,1.1,4.242640687,MA,Massachussets
1230,1231,0.06737,2.9100001,0.1535,-0.5,1.7,3,1.1,4.242640687,MA,Massachussets
1231,1232,0.06737,2.9100001,0.1572,-0.5,1.7,3,1.1,4.242640687,MA,Massachussets
1232,1233,0.08492,2.9100001,0.1568,-0.5,1.7,3,1.1,4.242640687,MA,Massachussets
1233,1234,0.02427,2.9100001,0.1639,-0.5,1.7,3,1.1,4.242640687,MA,Massachussets
1234,1235,0.0045,2.8099999,0.1734,-0.5,1.7,5,1.1,5.477225575,MA,Massachussets
