FID,NEWID,LENGTH,TIDE_M,SLOPE_PCT,ERR_M_YR,SL_MM_YR_,GEOM,WAVES_M,CVIVALUE,StateAbbr,FullState
3309,3310,0.05368,0.84,0.155,-4.8000002,2.8,4,1,12.25,MD,Maryland
3310,3311,0.05368,0.84,0.155,-4.8000002,2.8,4,1,12.25,MD,Maryland
3313,3314,0.00573,0.55,0.247,-4.8000002,2.75,4,1,12.25,MD,Maryland
3315,3316,0.05181,0.65,0.1717,-4.8000002,2.8,4,1,12.25,MD,Maryland
3320,3321,0.0561,0.55,0.247,-4.8000002,2.7,4,1,12.25,MD,Maryland
3321,3322,0.0561,0.55,0.247,-4.8000002,2.7,4,1,12.25,MD,Maryland
3322,3323,0.02062,0.55,0.247,-4.8000002,2.75,4,1,12.25,MD,Maryland
3323,3324,0.02062,0.55,0.247,-4.8000002,2.75,4,1,12.25,MD,Maryland
3346,3347,0.04859,0.84,0.155,-4.8000002,2.8,4,1,12.25,MD,Maryland
3347,3348,0.04859,0.84,0.155,-4.8000002,2.8,4,1,12.25,MD,Maryland
3348,3349,0.04859,0.84,0.1131,-4.8000002,2.8,4,1,17.32,MD,Maryland
3349,3350,0.00367,0.84,0.1105,-4.8000002,2.8,4,1,17.32,MD,Maryland
3351,3352,0.05747,0.55,0.2428,-4.8000002,2.75,4,1,12.25,MD,Maryland
3352,3353,0.05747,0.55,0.219,-4.8000002,2.75,4,1,12.25,MD,Maryland
3353,3354,0.0346,0.55,0.247,5,2.7,4,1,5.477225575,MD,Maryland
3354,3355,0.0346,0.55,0.2333,5,2.7,4,1,5.477225575,MD,Maryland
3373,3374,0.04367,0.65,0.1939,-4.8000002,2.8,4,1,12.25,MD,Maryland
3374,3375,0.04367,0.65,0.1289,-4.8000002,2.8,4,1,12.25,MD,Maryland
3375,3376,0.04367,0.65,0.1397,-4.8000002,2.8,4,1,12.25,MD,Maryland
3377,3378,0.03795,0.55,0.2242,5,2.7,4,1,5.477225575,MD,Maryland
3378,3379,0.03795,0.55,0.2242,5,2.7,4,1,5.477225575,MD,Maryland
3384,3385,0.10125,0.65,0.1289,-4.8000002,2.8,4,1,12.25,MD,Maryland
3385,3386,0.18239,0.65,0.2346,-4.8000002,2.75,4,1,12.25,MD,Maryland
3386,3387,0.18239,0.65,0.202,-4.8000002,2.75,4,1,12.25,MD,Maryland
3393,3394,0.00688,0.65,0.199,5,2.75,4,1,5.477225575,MD,Maryland
3395,3396,0.02358,0.55,0.2245,5,2.7,4,1,5.477225575,MD,Maryland
3396,3397,0.0183,0.55,0.2242,5,2.7,4,1,5.477225575,MD,Maryland
3397,3398,0.0042,0.55,0.2243,5,2.7,4,1,5.477225575,MD,Maryland
3398,3399,0.0042,0.55,0.2243,5,2.7,4,1,5.477225575,MD,Maryland
3399,3400,0.00393,0.65,0.199,5,2.75,4,1,5.477225575,MD,Maryland
3400,3401,0.07657,0.65,0.1606,-4.8000002,2.8,4,1,12.25,MD,Maryland
3401,3402,0.00221,0.65,0.1685,-4.8000002,2.8,4,1,12.25,MD,Maryland
3402,3403,0.00221,0.65,0.1685,-4.8000002,2.8,4,1,12.25,MD,Maryland
3403,3404,0.02721,0.65,0.1515,-4.8000002,2.8,4,1,12.25,MD,Maryland
3404,3405,0.02721,0.65,0.1289,-4.8000002,2.8,4,1,12.25,MD,Maryland
3411,3412,0.00251,0.65,0.199,5,2.75,4,1,5.477225575,MD,Maryland
3412,3413,0.00486,0.65,0.1687,5,2.75,4,1,5.477225575,MD,Maryland
3413,3414,0.01774,0.65,0.105,-4.8000002,2.75,4,1,17.32,MD,Maryland
3414,3415,0.01774,0.65,0.1367,-4.8000002,2.8,4,1,12.25,MD,Maryland
3417,3418,0.06075,0.65,0.0976,-4.8000002,2.8,4,1,17.32,MD,Maryland
3418,3419,0.06075,0.65,0.0745,-4.8000002,2.8,4,1,17.32,MD,Maryland
3419,3420,0.02046,0.65,0.1383,5,2.75,4,1,5.477225575,MD,Maryland
3420,3421,0.02046,0.65,0.1383,5,2.75,4,1,5.477225575,MD,Maryland
3423,3424,0.01045,0.65,0.105,5,2.75,4,1,7.745966692,MD,Maryland
3428,3429,0.07384,0.65,0.0939,-4.8000002,2.75,4,1,17.32,MD,Maryland
3429,3430,0.07384,0.65,0.0745,-4.8000002,2.8,4,1,17.32,MD,Maryland
3438,3439,0.05258,0.65,0.1353,5,2.75,4,1,5.477225575,MD,Maryland
3439,3440,0.03431,0.65,0.1383,5,2.75,4,1,5.477225575,MD,Maryland
3440,3441,0.00817,0.65,0.0745,-4.8000002,2.8,4,1,17.32,MD,Maryland
3443,3444,0.06723,0.65,0.0654,-4.8000002,2.8,4,1,17.32,MD,Maryland
3444,3445,0.06723,0.84,0.0526,-4.8000002,2.8,4,1,21.21,MD,Maryland
3455,3456,0.01342,0.84,0.0526,-4.8000002,2.8,4,1,21.21,MD,Maryland
3456,3457,0.01342,0.84,0.0526,-4.8000002,2.8,4,1,21.21,MD,Maryland
3459,3460,0.04048,0.65,0.0599,-4.8000002,2.8,4,1,17.32,MD,Maryland
3460,3461,0.04048,0.84,0.0526,-4.8000002,2.8,4,1,21.21,MD,Maryland
3461,3462,0.04048,0.65,0.0526,-4.8000002,2.8,4,1,21.21,MD,Maryland
3462,3463,0.04048,0.84,0.0526,-4.8000002,2.8,4,1,21.21,MD,Maryland
3471,3472,0.12707,0.55,0.1774,5,2.7,4,1,5.477225575,MD,Maryland
3472,3473,0.12707,0.48,0.1479,5,2.7,4,1,5.477225575,MD,Maryland
3473,3474,0.10555,0.65,0.1183,5,2.75,4,1,5.477225575,MD,Maryland
3474,3475,0.10555,0.65,0.105,5,2.75,4,1,7.745966692,MD,Maryland
3475,3476,0.10555,0.65,0.0985,5,2.75,4,1,7.745966692,MD,Maryland
3476,3477,0.00349,0.48,0.0786,5,2.75,4,1,7.745966692,MD,Maryland
3477,3478,0.0899,0.55,0.2336,5,2.6500001,4,1,5.477225575,MD,Maryland
3478,3479,0.0899,0.55,0.2143,5,2.6500001,4,1,5.477225575,MD,Maryland
3479,3480,0.09901,0.55,0.1853,5,2.7,4,1,5.477225575,MD,Maryland
3480,3481,0.09901,0.55,0.1798,5,2.7,4,1,5.477225575,MD,Maryland
3481,3482,0.09901,0.48,0.1532,5,2.7,4,1,5.477225575,MD,Maryland
3482,3483,0.09901,0.48,0.1266,5,2.7,4,1,5.477225575,MD,Maryland
3485,3486,0.00365,0.48,0.0786,5,2.75,4,1,7.745966692,MD,Maryland
3486,3487,0.00365,0.48,0.0786,5,2.75,4,1,7.745966692,MD,Maryland
