FID,NEWID,LENGTH,TIDE_M,SLOPE_PCT,ERR_M_YR,SL_MM_YR_,GEOM,WAVES_M,CVIVALUE,StateAbbr,FullState
0,1,0.00614,5.5999999,0.2296,0,1.45,1,1.3,2.236067977,ME,Maine
1,2,0.09625,5.5999999,0.2201,0,1.45,1,1.3,2.236067977,ME,Maine
2,3,0.09625,5.5999999,0.2204,0,1.45,1,1.3,2.236067977,ME,Maine
3,4,0.09625,5.5999999,0.2227,0,1.45,1,1.3,2.236067977,ME,Maine
4,5,0.01748,5.5999999,0.2161,0,1.45,1,1.3,2.236067977,ME,Maine
5,6,0.02502,5.5999999,0.1964,0,1.45,1,1.3,2.236067977,ME,Maine
6,7,0.04776,5.5999999,0.2065,0,1.45,1,1.3,2.236067977,ME,Maine
7,8,0.04776,5.5999999,0.2139,0,1.45,1,1.3,2.236067977,ME,Maine
8,9,0.00234,5.5999999,0.1898,0,1.45,1,1.5,2.236067977,ME,Maine
9,10,0.05305,5.5999999,0.21,0,1.45,1,1.3,2.236067977,ME,Maine
10,11,0.05305,5.5999999,0.2139,0,1.45,1,1.3,2.236067977,ME,Maine
11,12,0.05305,5.5999999,0.2071,0,1.45,1,1.3,2.236067977,ME,Maine
12,13,0.04736,5.5999999,0.2139,0,1.45,1,1.3,2.236067977,ME,Maine
13,14,0.04736,5.5999999,0.2139,0,1.45,1,1.3,2.236067977,ME,Maine
14,15,0.03376,5.5999999,0.1916,0,1.45,1,1.5,2.236067977,ME,Maine
15,16,0.03376,5.5999999,0.2117,0,1.45,1,1.5,2.236067977,ME,Maine
16,17,0.03594,5.5999999,0.2206,0,1.45,1,1.3,2.236067977,ME,Maine
17,18,0.18274,5.5999999,0.1898,0,1.45,1,1.3,2.236067977,ME,Maine
18,19,0.18274,5.5999999,0.1898,0,1.45,1,1.5,2.236067977,ME,Maine
19,20,0.18274,5.5999999,0.1939,0,1.45,1,1.3,2.236067977,ME,Maine
20,21,0.18274,5.5999999,0.2185,0,1.45,1,1.3,2.236067977,ME,Maine
21,22,0.04205,5.5999999,0.2117,0,1.45,1,1.3,2.236067977,ME,Maine
22,23,0.07252,5.5999999,0.234,0,1.45,1,1.3,2.236067977,ME,Maine
23,24,0.07252,5.5999999,0.2236,0,1.45,1,1.3,2.236067977,ME,Maine
24,25,0.03556,5.5999999,0.2236,0,1.45,1,1.3,2.236067977,ME,Maine
25,26,0.03556,5.5999999,0.2236,0,1.45,1,1.3,2.236067977,ME,Maine
26,27,0.00216,5.5999999,0.2236,0,1.45,1,1.3,2.236067977,ME,Maine
27,28,0.00358,5.5999999,0.2117,0,1.45,1,1.5,2.236067977,ME,Maine
28,29,0.01628,5.5999999,0.2117,0,1.45,1,1.3,2.236067977,ME,Maine
29,30,0.01628,5.5999999,0.2117,0,1.45,1,1.3,2.236067977,ME,Maine
30,31,0.01,5.5999999,0.2117,0,1.45,1,1.5,2.236067977,ME,Maine
31,32,0.03243,5.5999999,0.239,0,1.45,1,1.3,2.236067977,ME,Maine
32,33,0.03243,5.5999999,0.239,0,1.45,1,1.3,2.236067977,ME,Maine
33,34,0.06308,5.5999999,0.2391,0,1.45,1,1.3,2.236067977,ME,Maine
34,35,0.06308,5.5999999,0.2391,0,1.45,1,1.3,2.236067977,ME,Maine
35,36,0.06308,5.5999999,0.2422,0,1.45,1,1.3,2.236067977,ME,Maine
36,37,0.01611,5.5999999,0.2689,0,1.45,1,1.3,2.236067977,ME,Maine
37,38,0.01902,5.5999999,0.2789,0,1.45,1,1.3,2.236067977,ME,Maine
38,39,0.01902,5.5999999,0.2789,0,1.45,1,1.3,2.236067977,ME,Maine
39,40,0.00929,5.5999999,0.2663,0,1.45,1,1.3,2.236067977,ME,Maine
40,41,0.01475,5.5999999,0.2692,0,1.45,1,1.3,2.236067977,ME,Maine
