FID,NEWID,LENGTH,TIDE_M,SLOPE_PCT,ERR_M_YR,SL_MM_YR_,GEOM,WAVES_M,CVIVALUE,StateAbbr,FullState
12406,12774,0.09936,0.5,0.025,-1.83,6.118,5,0.7,25.82,MS,Mississippi
12407,12775,0.05172,0.5,0.0404,-1.83,5.9000001,5,0.7,22.36,MS,Mississippi
12408,12776,0.02307,0.38,0.059,-2.3499999,4.4000001,5,0.7,20.41,MS,Mississippi
12409,12777,0.01834,0.372,0.0554,-2.3499999,3.76,5,0.7,20.41,MS,Mississippi
12434,12802,0.0517,0.5,0.025,0,8.5,5,0.7,22.36,MS,Mississippi
12435,12803,0.03143,0.49,0.0364,-2.5,7.4860001,5,0.7,25,MS,Mississippi
12436,12804,0.05533,0.49,0.0343,-2.5,7.1999998,5,0.7,28.87,MS,Mississippi
12437,12805,0.05152,0.49,0.025,-2.5,7.1999998,5,0.7,28.87,MS,Mississippi
12438,12806,0.05092,0.492,0.025,-2.5,7.0599999,5,0.7,28.87,MS,Mississippi
12439,12807,0.05016,0.5,0.025,-1.83,6.5,5,0.7,25.82,MS,Mississippi
12440,12808,0.04722,0.5,0.025,-1.83,6.1399999,5,0.7,25.82,MS,Mississippi
12441,12809,0.01242,0.49,0.0404,-1.83,5.9499998,5,0.7,22.36,MS,Mississippi
12442,12810,0.06456,0.48,0.0318,-1.83,6,5,0.7,25.82,MS,Mississippi
12443,12811,0.02003,0.48,0.0268,0.32,6,5,0.7,22.36,MS,Mississippi
12444,12812,0.03126,0.48,0.0257,0.32,6,5,0.7,22.36,MS,Mississippi
12445,12813,0.05804,0.48,0.0281,0.32,6,5,0.7,22.36,MS,Mississippi
12446,12814,0.07131,0.445,0.0348,0.32,5.4000001,5,0.7,22.36,MS,Mississippi
12447,12815,0.06073,0.386,0.0513,-2.3499999,4.4860001,5,0.7,25,MS,Mississippi
12448,12816,0.03688,0.38,0.0589,-2.3499999,4.4000001,5,0.7,20.41,MS,Mississippi
12449,12817,0.05596,0.37,0.052,-2.3499999,3.5999999,5,0.7,25,MS,Mississippi
12470,12838,0.07233,0.5,0.025,0,8.6420002,5,0.7,22.36,MS,Mississippi
12471,12839,0.06094,0.5,0.0316,-1.8329999,8.5,5,0.7,25.82,MS,Mississippi
12472,12840,0.0528,0.493,0.0347,-2.5,7.9180002,5,0.7,28.87,MS,Mississippi
12473,12841,0.02015,0.49,0.0368,-2.5,7.6999998,5,0.7,25,MS,Mississippi
12474,12842,0.03435,0.48,0.0264,0.32,6,5,0.7,22.36,MS,Mississippi
12475,12843,0.02135,0.48,0.0258,0.32,6,5,0.7,22.36,MS,Mississippi
12476,12844,0.01741,0.416,0.0335,0.32,4.98,5,0.7,22.36,MS,Mississippi
12477,12845,0.05067,0.42,0.0393,-0.091,5.0999999,5,0.7,19.36,MS,Mississippi
12478,12846,0.06437,0.411,0.0411,-2.3499999,4.8210001,5,0.7,25,MS,Mississippi
12479,12847,0.03959,0.403,0.0463,-2.3499999,4.6999998,5,0.7,25,MS,Mississippi
12480,12848,0.07338,0.363,0.0275,-1.12,3.365,5,0.5,16.33,MS,Mississippi
12481,12849,0.07564,0.36,0.0243,-1.12,3.2880001,5,0.5,16.33,MS,Mississippi
12494,12862,0.02925,0.497,0.0368,0,8.8330002,5,0.7,19.36,MS,Mississippi
12495,12863,0.00141,0.38,0.0315,0,2.5999999,5,0.7,17.32,MS,Mississippi
12496,12864,0.03945,0.38,0.033,0,2.5999999,5,0.7,17.32,MS,Mississippi
