FID,NEWID,LENGTH,TIDE_M,SLOPE_PCT,ERR_M_YR,SL_MM_YR_,GEOM,WAVES_M,CVIVALUE,StateAbbr,FullState
1057,1058,0.15007,2.1400001,0.1796,-0.5,0.95,4,0.6,3.464101615,NH,New Hampshire
1058,1059,0.15007,2.48,0.1773,-0.5,0.9,4,0.6,3.464101615,NH,New Hampshire
1060,1061,0.15007,2.1400001,0.1796,-0.5,0.95,4,0.6,3.464101615,NH,New Hampshire
1069,1070,0.04988,2.48,0.1818,-0.5,0.9,4,0.6,3.464101615,NH,New Hampshire
1070,1071,0.04988,2.48,0.1878,-0.5,0.9,4,0.6,3.464101615,NH,New Hampshire
1071,1072,0.01033,2.48,0.1873,-0.5,0.9,4,1.2,4.898979486,NH,New Hampshire
1076,1077,0.01367,2.48,0.1873,-0.5,0.9,4,1.2,4.898979486,NH,New Hampshire
1077,1078,0.00275,2.48,0.1873,-0.5,0.9,4,1.2,4.898979486,NH,New Hampshire
1078,1079,0.00275,2.48,0.1873,-0.5,0.9,4,1.2,4.898979486,NH,New Hampshire
1079,1080,0.01286,2.48,0.1873,-0.5,0.9,4,1.2,4.898979486,NH,New Hampshire
1080,1081,0.13364,2.1400001,0.1796,-0.5,0.95,4,0.6,3.464101615,NH,New Hampshire
1081,1082,0.13364,2.48,0.1757,-0.5,0.9,4,0.6,3.464101615,NH,New Hampshire
1082,1083,0.13364,2.48,0.1753,-0.5,0.9,4,0.6,3.464101615,NH,New Hampshire
1083,1084,0.13364,2.1400001,0.17,-0.5,0.95,4,0.6,3.464101615,NH,New Hampshire
1084,1085,0.13364,2.48,0.1668,-0.5,0.95,4,0.6,3.464101615,NH,New Hampshire
1085,1086,0.01108,2.48,0.1873,-0.5,0.9,4,1.2,4.898979486,NH,New Hampshire
1086,1087,0.01108,2.48,0.1873,-0.5,0.9,4,1.2,4.898979486,NH,New Hampshire
1087,1088,0.00763,2.48,0.1873,-0.5,0.9,4,1.2,4.898979486,NH,New Hampshire
1088,1089,0.00305,2.48,0.1873,-0.5,0.9,4,1.2,4.898979486,NH,New Hampshire
1089,1090,0.04164,2.48,0.2091,-0.5,0.9,4,1.2,4.898979486,NH,New Hampshire
1090,1091,0.04164,2.48,0.2051,-0.5,0.9,4,1.2,4.898979486,NH,New Hampshire
1091,1092,0.16143,2.1400001,0.1752,-0.5,0.95,4,0.6,3.464101615,NH,New Hampshire
1092,1093,0.16143,2.1400001,0.1736,-0.5,0.95,4,0.6,3.464101615,NH,New Hampshire
1093,1094,0.16143,2.48,0.1652,-0.5,0.95,4,0.6,3.464101615,NH,New Hampshire
1094,1095,0.16143,2.1400001,0.1726,-0.5,0.95,4,0.6,3.464101615,NH,New Hampshire
1095,1096,0.16143,2.48,0.1652,-0.5,0.95,4,0.6,3.464101615,NH,New Hampshire
1096,1097,0.16143,2.48,0.1652,-0.5,0.95,4,0.6,3.464101615,NH,New Hampshire
1097,1098,0.06071,2.48,0.2076,-0.5,0.95,2,1.2,3.464101615,NH,New Hampshire
1098,1099,0.00639,2.48,0.189,-0.5,0.9,2,1.2,3.464101615,NH,New Hampshire
1099,1100,0.03486,2.48,0.1951,-0.5,0.9,2,1.2,3.464101615,NH,New Hampshire
1100,1101,0.01889,2.48,0.2052,-0.5,1,2,1.2,3.464101615,NH,New Hampshire
1101,1102,0.06188,2.48,0.2052,-0.5,1,2,1.2,3.464101615,NH,New Hampshire
1102,1103,0.06188,2.46,0.1976,-0.5,1,2,1.2,3.464101615,NH,New Hampshire
1103,1104,0.06188,2.46,0.2045,-0.5,1,2,1.2,3.464101615,NH,New Hampshire
1104,1105,0.00416,2.46,0.1976,-0.5,1.1,2,1.2,3.464101615,NH,New Hampshire
1105,1106,0.11739,2.46,0.1976,-0.5,1.1,5,1.2,5.477225575,NH,New Hampshire
1106,1107,0.11739,2.46,0.1992,-0.5,1.1,5,1.2,5.477225575,NH,New Hampshire
