FID,NEWID,LENGTH,TIDE_M,SLOPE_PCT,ERR_M_YR,SL_MM_YR_,GEOM,WAVES_M,CVIVALUE,StateAbbr,FullState
2782,2783,0.04987,1.39,0.081,-2.0999999,2.3499999,2,0.7,7.302967433,NJ,New Jersey
2783,2784,0.04987,1.39,0.0779,-2.0999999,2.3,2,0.7,7.302967433,NJ,New Jersey
2830,2831,0.01788,1.52,0.12,-2.0999999,2.3499999,3,0.7,6.32455532,NJ,New Jersey
2848,2849,0.12161,1.41,0.0788,-2.0999999,2.3499999,2,0.7,7.302967433,NJ,New Jersey
2849,2850,0.12161,1.41,0.0717,-2.0999999,2.5,2,0.7,8.94427191,NJ,New Jersey
2858,2859,0.00532,1.41,0.0717,-2.0999999,2.5,2,0.7,8.94427191,NJ,New Jersey
2862,2863,0.00822,1.52,0.1478,-2.0999999,2.7,3,0.7,7.745966692,NJ,New Jersey
2873,2874,0.00208,1.52,0.1478,-2.0999999,2.7,3,0.7,7.745966692,NJ,New Jersey
2874,2875,0.00918,1.39,0.0717,-2.0999999,2.5,3,0.7,10.95,NJ,New Jersey
2911,2912,0.02736,1.39,0.0709,-2.0999999,2.5,3,0.7,10.95,NJ,New Jersey
2971,2972,0.04558,1.62,0.118,-2.0999999,2.7,3,0.7,7.745966692,NJ,New Jersey
2972,2973,0.04558,1.62,0.1121,-2.0999999,2.7,3,0.7,10.95,NJ,New Jersey
2973,2974,0.04506,1.62,0.118,-2.0999999,2.7,3,0.7,7.745966692,NJ,New Jersey
2974,2975,0.04506,1.62,0.1121,-2.0999999,2.7,3,0.7,10.95,NJ,New Jersey
2975,2976,0.04506,1.62,0.1121,-2.0999999,2.7,3,0.7,10.95,NJ,New Jersey
2980,2981,0.02768,1.39,0.0707,-2.0999999,2.55,3,0.7,10.95,NJ,New Jersey
2981,2982,0.02768,1.39,0.0721,-2.0999999,2.55,3,0.7,10.95,NJ,New Jersey
2982,2983,0.003,1.59,0.1121,-2.0999999,2.7,3,0.7,10.95,NJ,New Jersey
2983,2984,0.003,1.62,0.1121,-2.0999999,2.7,3,0.7,10.95,NJ,New Jersey
2988,2989,0.00227,1.59,0.1121,-2.0999999,2.7,3,0.7,10.95,NJ,New Jersey
2996,2997,0.00753,1.59,0.1103,-2.0999999,2.7,3,0.7,10.95,NJ,New Jersey
2999,3000,0.00909,1.59,0.1103,-2.0999999,2.7,3,0.7,10.95,NJ,New Jersey
3001,3002,0.04701,1.39,0.0899,-2.0999999,2.75,3,0.7,10.95,NJ,New Jersey
3002,3003,0.04701,1.39,0.083,-2.0999999,2.75,3,0.7,10.95,NJ,New Jersey
3003,3004,0.03998,1.59,0.1131,-2.0999999,2.7,3,0.7,10.95,NJ,New Jersey
3004,3005,0.03998,1.59,0.1144,-2.0999999,2.7,3,0.7,10.95,NJ,New Jersey
3005,3006,0.03126,1.59,0.1124,-2.0999999,2.7,3,0.7,10.95,NJ,New Jersey
