FID,NEWID,LENGTH,TIDE_M,SLOPE_PCT,ERR_M_YR,SL_MM_YR_,GEOM,WAVES_M,CVIVALUE,StateAbbr,FullState
1387,1388,0.05246,1.38,0.2121,-0.5,1.25,4,0.9,4.898979486,RI,Rhode Island
1388,1389,0.05246,1.38,0.2103,-0.5,1.25,4,0.9,4.898979486,RI,Rhode Island
1419,1420,0.08404,1.38,0.2087,-0.5,1.25,4,0.9,4.898979486,RI,Rhode Island
1420,1421,0.08404,1.35,0.1991,-0.5,1.25,4,0.9,4.898979486,RI,Rhode Island
1425,1426,0.00721,1.29,0.1192,-0.5,1.4,4,0.9,4.898979486,RI,Rhode Island
1426,1427,0.00422,1.29,0.1192,-0.5,1.4,4,0.9,4.898979486,RI,Rhode Island
1427,1428,0.09948,1.38,0.2081,-0.5,1.25,4,0.9,4.898979486,RI,Rhode Island
1428,1429,0.09948,1.38,0.2103,-0.5,1.25,4,0.9,4.898979486,RI,Rhode Island
1429,1430,0.09948,1.38,0.1991,-0.5,1.25,4,0.9,4.898979486,RI,Rhode Island
1430,1431,0.09948,1.35,0.1991,-0.5,1.3,4,0.9,4.898979486,RI,Rhode Island
1431,1432,0.00511,1.35,0.1991,-0.5,1.3,4,0.9,4.898979486,RI,Rhode Island
1432,1433,0.03769,1.29,0.1446,-0.5,1.4,4,0.9,4.898979486,RI,Rhode Island
1450,1451,0.01083,1.35,0.1918,-0.5,1.3,4,0.9,4.898979486,RI,Rhode Island
1451,1452,0.02689,1.29,0.1192,-0.5,1.4,4,0.9,4.898979486,RI,Rhode Island
1452,1453,0.02689,1.29,0.131,-0.5,1.4,4,0.9,4.898979486,RI,Rhode Island
1453,1454,0.02689,1.29,0.1205,-0.5,1.4,4,0.9,4.898979486,RI,Rhode Island
1466,1467,0.01134,1.35,0.1882,-0.5,1.3,4,0.9,4.898979486,RI,Rhode Island
1487,1488,0.0431,1.29,0.133,-0.5,1.4,4,0.9,4.898979486,RI,Rhode Island
1488,1489,0.0431,1.29,0.1209,-0.5,1.4,4,0.9,4.898979486,RI,Rhode Island
1503,1504,0.03946,1.29,0.1192,-0.5,1.4,4,0.9,4.898979486,RI,Rhode Island
1504,1505,0.03946,1.29,0.1207,-0.5,1.4,4,0.9,4.898979486,RI,Rhode Island
1508,1509,0.07656,1.35,0.1773,-0.5,1.35,4,0.9,4.898979486,RI,Rhode Island
1509,1510,0.07656,1.29,0.1393,-0.5,1.4,4,0.9,4.898979486,RI,Rhode Island
1513,1514,0.00428,1.29,0.1209,-0.5,1.4,4,0.9,4.898979486,RI,Rhode Island
1522,1523,0.00285,1.29,0.1295,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1523,1524,0.00285,1.29,0.1295,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1526,1527,0.03056,1.29,0.1288,-0.5,1.4,4,0.9,4.898979486,RI,Rhode Island
1527,1528,0.03056,1.29,0.1209,-0.5,1.4,4,0.9,4.898979486,RI,Rhode Island
1536,1537,0.0242,1.29,0.1246,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1537,1538,0.0242,1.29,0.1295,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1538,1539,0.00821,1.29,0.1295,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1539,1540,0.00821,1.27,0.1295,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1540,1541,0.02445,1.29,0.1295,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1541,1542,0.02445,1.29,0.1295,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1548,1549,0.01265,1.27,0.1327,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1557,1558,0.00906,1.27,0.1327,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1570,1571,0.00832,1.27,0.136,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1573,1574,0.03205,1.29,0.1209,-0.5,1.4,4,0.9,4.898979486,RI,Rhode Island
1574,1575,0.03205,1.29,0.1258,-0.5,1.4,4,0.9,4.898979486,RI,Rhode Island
1579,1580,0.00552,1.29,0.127,-0.5,1.65,4,0.9,4.898979486,RI,Rhode Island
1580,1581,0.00552,1.29,0.127,-0.5,1.65,4,0.9,4.898979486,RI,Rhode Island
1588,1589,0.00997,1.27,0.136,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1590,1591,0.00696,1.29,0.1307,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1591,1592,0.08778,1.23,0.1882,-0.5,1.35,4,0.9,4.898979486,RI,Rhode Island
1592,1593,0.08778,1.23,0.1804,-0.5,1.45,4,0.9,4.898979486,RI,Rhode Island
1598,1599,0.05308,1.29,0.1508,-0.5,1.7,1,0.9,2.449489743,RI,Rhode Island
1601,1602,0.00423,1.29,0.138,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1604,1605,0.00847,1.27,0.127,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1605,1606,0.0105,1.27,0.136,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1607,1608,0.00215,1.27,0.136,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1608,1609,0.00215,1.27,0.136,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1610,1611,0.01087,1.23,0.138,-0.5,1.45,1,0.9,2.449489743,RI,Rhode Island
1614,1615,0.13643,1.23,0.2241,-0.5,1.5,4,0.9,4.898979486,RI,Rhode Island
1615,1616,0.13643,1.23,0.1789,-0.5,1.45,4,0.9,4.898979486,RI,Rhode Island
1618,1619,0.01013,1.27,0.127,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1619,1620,0.00788,1.23,0.138,-0.5,1.45,1,0.9,2.449489743,RI,Rhode Island
1622,1623,0.00601,1.23,0.138,-0.5,1.45,1,0.9,2.449489743,RI,Rhode Island
1630,1631,0.04514,1.27,0.1301,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1631,1632,0.04514,1.27,0.127,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1633,1634,0.01046,1.23,0.138,-0.5,1.45,1,0.9,2.449489743,RI,Rhode Island
1634,1635,0.04017,1.27,0.129,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1635,1636,0.04017,1.27,0.127,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1640,1641,0.0067,1.23,0.138,-0.5,1.45,1,0.9,2.449489743,RI,Rhode Island
1641,1642,0.0067,1.23,0.1442,-0.5,1.45,1,0.9,2.449489743,RI,Rhode Island
1642,1643,0.01994,1.23,0.2301,-0.5,1.5,1,0.9,2.449489743,RI,Rhode Island
1643,1644,0.01994,1.23,0.2227,-0.5,1.5,1,0.9,2.449489743,RI,Rhode Island
1644,1645,0.01533,1.27,0.1472,-0.5,1.75,1,0.9,2.449489743,RI,Rhode Island
1648,1649,0.02018,1.23,0.138,-0.5,1.45,1,0.9,2.449489743,RI,Rhode Island
1649,1650,0.02018,1.23,0.1463,-0.5,1.45,1,0.9,2.449489743,RI,Rhode Island
1652,1653,0.00662,1.16,0.1505,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1674,1675,0.02181,1.23,0.219,-0.5,1.65,1,0.9,2.449489743,RI,Rhode Island
1675,1676,0.05567,1.29,0.1434,-0.5,1.7,1,0.9,2.449489743,RI,Rhode Island
1676,1677,0.05567,1.09,0.1481,-0.5,1.8,1,0.9,3.464101615,RI,Rhode Island
