FID,NEWID,LENGTH,TIDE_M,SLOPE_PCT,ERR_M_YR,SL_MM_YR_,GEOM,WAVES_M,CVIVALUE,StateAbbr,FullState
8798,8799,0.01596,1.42,0.0507,-5,2.6500001,4,1,18.97,SC,South Carolina
8813,8814,0.02139,1.4400001,0.0517,-5,2.6500001,4,1,18.97,SC,South Carolina
8814,8815,0.02139,1.4400001,0.0507,-5,2.6500001,4,1,18.97,SC,South Carolina
8815,8816,0.00827,1.4400001,0.0528,-5,2.6500001,4,1,18.97,SC,South Carolina
8818,8819,0.01322,1.4400001,0.0528,-5,2.6500001,4,1,18.97,SC,South Carolina
8819,8820,0.01322,1.4400001,0.0528,-5,2.6500001,4,1,18.97,SC,South Carolina
8822,8823,0.00744,1.4400001,0.0528,-5,2.6500001,4,1,18.97,SC,South Carolina
8823,8824,0.02505,1.22,0.0528,1,2.6500001,4,1,14.7,SC,South Carolina
8826,8827,0.0365,1.42,0.0557,-5,2.6500001,4,1,15.49,SC,South Carolina
8827,8828,0.02232,1.4400001,0.0519,-5,2.6500001,4,1,18.97,SC,South Carolina
8828,8829,0.01065,1.42,0.0569,-5,2.6500001,5,1,17.32,SC,South Carolina
8832,8833,0.00995,1.4400001,0.0541,-5,2.6500001,4,1,18.97,SC,South Carolina
8839,8840,0.01313,1.42,0.0569,-5,2.6500001,5,1,17.32,SC,South Carolina
8840,8841,0.01313,1.42,0.0569,-5,2.6500001,5,1,17.32,SC,South Carolina
8841,8842,0.00689,1.42,0.0569,-5,2.6500001,5,1,17.32,SC,South Carolina
8842,8843,0.00689,1.42,0.0569,-5,2.6500001,5,1,17.32,SC,South Carolina
8843,8844,0.04458,1.4400001,0.0569,-5,2.6500001,5,1,17.32,SC,South Carolina
8844,8845,0.04458,1.4400001,0.0562,-5,2.6500001,5,1,17.32,SC,South Carolina
8847,8848,0.01059,1.4400001,0.0528,-5,2.6500001,5,1,21.21,SC,South Carolina
8848,8849,0.00693,1.4400001,0.0528,-5,2.6500001,5,1,21.21,SC,South Carolina
8849,8850,0.00693,1.4400001,0.0528,-5,2.6500001,5,1,21.21,SC,South Carolina
8850,8851,0.01347,1.4400001,0.0528,1,2.6500001,5,1,16.43,SC,South Carolina
8851,8852,0.01928,1.4400001,0.0522,1,2.6500001,5,1,16.43,SC,South Carolina
8852,8853,0.01999,1.4400001,0.0511,1,2.6500001,5,1,16.43,SC,South Carolina
8853,8854,0.01999,1.4400001,0.0511,1,2.6500001,5,1,16.43,SC,South Carolina
8854,8855,0.00693,1.4400001,0.0511,-2.5999999,2.6500001,5,1,21.21,SC,South Carolina
8855,8856,0.01879,1.4400001,0.051,-2.5999999,2.7,4,1,18.97,SC,South Carolina
8856,8857,0.08014,1.22,0.0509,-2.5999999,2.7,4,1,18.97,SC,South Carolina
8857,8858,0.08014,1.4400001,0.0509,-2.5999999,2.7,4,1,18.97,SC,South Carolina
8858,8859,0.08014,1.22,0.0514,-2.5999999,2.7,4,1,18.97,SC,South Carolina
8859,8860,0.02024,1.22,0.0519,-2.5999999,2.7,4,1,18.97,SC,South Carolina
8860,8861,0.00914,1.22,0.0517,-2.5999999,2.7,4,1,18.97,SC,South Carolina
8861,8862,0.02613,1.22,0.0515,-2.5999999,2.75,4,1,18.97,SC,South Carolina
8862,8863,0.00562,1.54,0.0515,1,2.75,4,1,14.7,SC,South Carolina
8863,8864,0.00562,1.54,0.0515,1,2.75,4,1,14.7,SC,South Carolina
8864,8865,0.06451,1.54,0.0498,1,2.75,4,1,14.7,SC,South Carolina
8865,8866,0.06451,1.54,0.0504,1,2.75,4,1,14.7,SC,South Carolina
8866,8867,0.05064,1.54,0.0504,1,2.75,4,1,14.7,SC,South Carolina
8867,8868,0.05064,1.54,0.0476,1,2.75,4,1,14.7,SC,South Carolina
8868,8869,0.04093,1.54,0.0471,-2.5,2.75,4,1,18.97,SC,South Carolina
8869,8870,0.04093,1.54,0.0462,-2.5,2.75,4,1,18.97,SC,South Carolina
8870,8871,0.03913,1.54,0.0476,-2.5,2.75,4,1,18.97,SC,South Carolina
8871,8872,0.03913,1.54,0.0436,-2.5,2.75,4,1,18.97,SC,South Carolina
8872,8873,0.03913,1.54,0.0449,-2.5,2.75,4,1,18.97,SC,South Carolina
8873,8874,0.01815,1.54,0.0441,-2.5,2.75,5,1,21.21,SC,South Carolina
8874,8875,0.04559,1.55,0.0452,-0.5,2.8,5,1,16.43,SC,South Carolina
8875,8876,0.04559,1.55,0.0434,-0.5,2.8,5,1,16.43,SC,South Carolina
8876,8877,0.00721,1.55,0.0416,-0.5,2.8,5,1,16.43,SC,South Carolina
8877,8878,0.02203,1.55,0.0417,-2.4000001,2.8,5,1,21.21,SC,South Carolina
8878,8879,0.01855,1.3,0.042,-2.4000001,2.8,5,1,21.21,SC,South Carolina
8879,8880,0.01855,1.3,0.042,-2.4000001,2.8,5,1,21.21,SC,South Carolina
8880,8881,0.01277,1.3,0.042,-2.4000001,2.8,5,1,21.21,SC,South Carolina
8881,8882,0.01297,1.3,0.0399,1.7,2.8,5,1,13.42,SC,South Carolina
8882,8883,0.00693,1.3,0.0388,1.7,2.8,5,1,13.42,SC,South Carolina
8883,8884,0.00951,1.3200001,0.0391,1.7,2.8,5,1,13.42,SC,South Carolina
8884,8885,0.00463,1.3200001,0.0398,1.7,2.8,5,1,13.42,SC,South Carolina
8885,8886,0.00463,1.3200001,0.0398,1.7,2.8,5,1,13.42,SC,South Carolina
8886,8887,0.01132,1.3200001,0.0398,1.7,2.8,5,1,13.42,SC,South Carolina
8887,8888,0.01023,0.88,0.0398,1.7,2.8,5,1,15,SC,South Carolina
8888,8889,0.00738,0.88,0.0398,-0.5,2.8,5,1,18.37,SC,South Carolina
8889,8890,0.05182,1.34,0.0377,-0.5,2.8,5,1,16.43,SC,South Carolina
8890,8891,0.05182,0.88,0.0378,-0.5,2.8,5,1,18.37,SC,South Carolina
8891,8892,0.05182,1.34,0.0377,-0.5,2.8,5,1,16.43,SC,South Carolina
8892,8893,0.00453,1.08,0.033,0.5,2.8,3,1,14.7,SC,South Carolina
8893,8894,0.01502,1.08,0.0299,0.5,2.8,3,1,14.7,SC,South Carolina
8894,8895,0.03034,1.51,0.0377,0.5,2.8,5,1,16.43,SC,South Carolina
