FID,NEWID,LENGTH,TIDE_M,SLOPE_PCT,ERR_M_YR,SL_MM_YR_,GEOM,WAVES_M,CVIVALUE,StateAbbr,FullState
12849,13217,0.06567,0.37,0.0344,0.28,7.4000001,3,0.5,12.25,TX,Texas
12850,13218,0.03494,0.36,0.037,-0.31,7.4000001,3,0.5,10.61,TX,Texas
12851,13219,0.05292,0.36,0.0362,-0.376,7.4000001,3,0.5,10.61,TX,Texas
12852,13220,0.03748,0.36,0.0347,-0.84,7.4000001,3,0.5,12.25,TX,Texas
12853,13221,0.04006,0.36,0.032,-0.84,7.4000001,3,0.5,12.25,TX,Texas
12854,13222,0.0175,0.36,0.0365,-0.84,7.4000001,3,0.5,10.61,TX,Texas
12855,13223,0.05178,0.37,0.0305,-0.5,7.4000001,3,0.5,12.25,TX,Texas
12856,13224,0.00368,0.36,0.037,-0.5,7.4000001,3,0.5,23.72,TX,Texas
12857,13225,0.0966,0.356,0.0348,-0.45,7.4000001,3,0.5,12.25,TX,Texas
12858,13226,0.01938,0.36,0.033,-0.84,7.4000001,3,0.5,12.25,TX,Texas
12859,13227,0.07004,0.353,0.0278,-0.84,7.4000001,3,0.5,12.25,TX,Texas
12860,13228,0.05317,0.36,0.0266,-0.84,7.4000001,3,0.5,12.25,TX,Texas
12861,13229,0.05117,0.367,0.0282,-1.5,7.4000001,3,0.5,14.14,TX,Texas
12862,13230,0.04586,0.4,0.0228,-1.5,7.3000002,5,0.8,25.82,TX,Texas
12863,13231,0.05183,0.4,0.0225,-1.5,7.3000002,5,0.8,25.82,TX,Texas
12864,13232,0.05025,0.4,0.0221,0,7.3000002,5,0.8,22.36,TX,Texas
12865,13233,0.05011,0.4,0.0218,-9,7.3000002,5,0.8,32.27,TX,Texas
12866,13234,0.05188,0.386,0.0212,-3,7.3000002,5,0.8,32.27,TX,Texas
12867,13235,0.07169,0.37,0.0218,-3,7.3000002,5,0.8,32.27,TX,Texas
12868,13236,0.04541,0.34,0.0328,-0.31,7.4000001,3,0.5,12.25,TX,Texas
12869,13237,0.02379,0.34,0.0302,-0.84,7.4000001,3,0.5,12.25,TX,Texas
12870,13238,0.0557,0.36,0.0257,-0.77,7.4000001,3,0.5,12.25,TX,Texas
12871,13239,0.00767,0.39,0.0245,-1.3200001,7.3000002,5,0.8,25.82,TX,Texas
12872,13240,0.05579,0.39,0.0244,-1.5,7.3000002,5,0.8,25.82,TX,Texas
12873,13241,0.05461,0.39,0.0234,-3,7.3000002,5,0.8,28.87,TX,Texas
12874,13242,0.00737,0.397,0.0229,-2.26,7.3000002,5,0.8,28.87,TX,Texas
12875,13243,0.03905,0.34,0.0313,-0.31,7.4000001,3,0.5,12.25,TX,Texas
12876,13244,0.02671,0.34,0.0302,-0.689,7.4000001,3,0.5,12.25,TX,Texas
12877,13245,0.00612,0.36,0.0228,-0.84,7.4000001,3,0.5,12.25,TX,Texas
12878,13246,0.06652,0.36,0.0232,-0.84,7.4000001,3,0.5,12.25,TX,Texas
12879,13247,0.01532,0.36,0.0249,-0.75,7.4000001,3,0.5,12.25,TX,Texas
12880,13248,0.03503,0.369,0.0224,-0.77,7.4000001,3,0.5,12.25,TX,Texas
12881,13249,0.05139,0.372,0.0221,-0.77,7.4000001,3,0.5,12.25,TX,Texas
12882,13250,0.0524,0.38,0.0211,-0.77,7.4000001,3,0.5,13.69,TX,Texas
12883,13251,0.02982,0.38,0.0211,-0.77,7.4000001,3,0.5,13.69,TX,Texas
12884,13252,0.04031,0.38,0.0226,-1.3200001,7.4000001,5,0.8,25.82,TX,Texas
12885,13253,0.04903,0.386,0.0236,-3,7.3460002,5,0.8,28.87,TX,Texas
12886,13254,0.05351,0.39,0.0243,-3,7.3000002,5,0.8,28.87,TX,Texas
12887,13255,0.0442,0.39,0.0248,-3,7.3000002,5,0.8,28.87,TX,Texas
12888,13256,0.03837,0.34,0.0319,-0.575,7.4000001,3,0.5,12.25,TX,Texas
12889,13257,0.05276,0.354,0.0298,-0.84,7.4000001,3,0.5,12.25,TX,Texas
12890,13258,0.03265,0.346,0.0274,-0.84,7.4000001,3,0.5,12.25,TX,Texas
12891,13259,0.01633,0.36,0.0228,-1,7.4000001,3,0.5,14.14,TX,Texas
12892,13260,0.0581,0.36,0.0221,-0.84,7.4000001,3,0.5,12.25,TX,Texas
12893,13261,0.0517,0.36,0.0228,-0.78,7.4000001,3,0.5,12.25,TX,Texas
12894,13262,0.01636,0.36,0.0222,-0.77,7.4000001,3,0.5,12.25,TX,Texas
12895,13263,0.01061,0.378,0.0207,-0.448,7.4000001,3,0.8,19.36,TX,Texas
12896,13264,0.05902,0.38,0.0208,-0.77,7.4000001,3,0.8,19.36,TX,Texas
12897,13265,0.09584,0.38,0.0215,-3,7.4000001,5,0.8,32.27,TX,Texas
12898,13266,0.09462,0.38,0.0219,-3,7.4000001,5,0.8,32.27,TX,Texas
12899,13267,0.05293,0.38,0.023,-3,7.4000001,5,0.8,28.87,TX,Texas
12900,13268,0.00654,0.38,0.0235,-1.3200001,7.4000001,5,0.8,25.82,TX,Texas
12901,13269,0.03219,0.34,0.0263,-0.58,7.4000001,3,0.5,12.25,TX,Texas
12902,13270,0.05246,0.34,0.0268,-0.58,7.4000001,3,0.5,12.25,TX,Texas
12903,13271,0.01424,0.36,0.0214,0.52,7.4000001,4,0.8,22.36,TX,Texas
12904,13272,0.05331,0.366,0.0213,0.52,7.4000001,4,0.8,22.36,TX,Texas
12905,13273,0.10211,0.371,0.021,0,7.4000001,5,0.8,25,TX,Texas
12906,13274,0.05315,0.38,0.0206,-1.5,7.4000001,5,0.8,28.87,TX,Texas
12907,13275,0.03941,0.38,0.0211,-1.5,7.4000001,5,0.8,28.87,TX,Texas
12908,13276,0.11081,0.34,0.0237,-0.58,7.4000001,3,0.5,12.25,TX,Texas
12909,13277,0.02711,0.34,0.0203,-0.58,7.4000001,3,0.5,13.69,TX,Texas
12910,13278,0.03406,0.346,0.0203,2,7.4000001,4,0.8,18.26,TX,Texas
12911,13279,0.07791,0.36,0.0212,2,7.4000001,5,0.8,20.41,TX,Texas
12912,13280,0.06019,0.366,0.0211,2,7.4000001,5,0.8,20.41,TX,Texas
12913,13281,0.00195,0.37,0.0211,0.52,7.4000001,5,0.8,25,TX,Texas
12914,13282,0.11225,0.34,0.0191,-0.58,7.4000001,3,0.5,13.69,TX,Texas
12915,13283,0.06426,0.34,0.0186,-0.58,7.4000001,3,0.5,13.69,TX,Texas
12916,13284,0.0752,0.342,0.0194,2,7.4000001,4,0.8,18.26,TX,Texas
12917,13285,0.04638,0.36,0.0208,2,7.4000001,5,0.8,20.41,TX,Texas
12918,13286,0.01276,0.34,0.018,-0.58,7.4000001,3,0.8,19.36,TX,Texas
12919,13287,0.0608,0.34,0.0179,-0.58,7.4000001,3,0.8,19.36,TX,Texas
12920,13288,0.03022,0.34,0.0184,-0.58,7.4000001,3,0.5,13.69,TX,Texas
12921,13289,0.02113,0.34,0.0176,-0.425,7.4000001,3,0.5,13.69,TX,Texas
12922,13290,0.06488,0.34,0.0185,-0.497,7.4000001,3,0.5,13.69,TX,Texas
12923,13291,0.01893,0.337,0.02,-0.81,7.4000001,3,0.5,13.69,TX,Texas
12924,13292,0.00918,0.34,0.02,-0.81,7.4000001,3,0.5,13.69,TX,Texas
12925,13293,0.0133,0.34,0.0179,-0.81,7.4000001,3,0.5,13.69,TX,Texas
12926,13294,0.05794,0.34,0.0185,-0.81,7.4000001,3,0.5,13.69,TX,Texas
12927,13295,0.06087,0.33,0.0197,-0.81,7.4000001,3,0.5,13.69,TX,Texas
12928,13296,0.06095,0.338,0.0195,-0.81,7.4000001,3,0.5,13.69,TX,Texas
12929,13297,0.04611,0.34,0.0187,-0.81,7.4000001,3,0.8,19.36,TX,Texas
12930,13298,0.05123,0.33,0.0191,-0.81,7.4000001,3,0.5,13.69,TX,Texas
12931,13299,0.02608,0.33,0.019,-0.81,7.4000001,5,0.8,25,TX,Texas
12932,13300,0.04266,0.33,0.0191,-3,7.4000001,5,0.8,32.27,TX,Texas
12933,13301,0.0294,0.33,0.0213,-3,7.4000001,5,0.8,32.27,TX,Texas
12934,13302,0.06129,0.33,0.02,-3,7.4000001,5,0.8,32.27,TX,Texas
12935,13303,0.00009,0.33,0.0191,-3,7.4000001,5,0.8,32.27,TX,Texas
12936,13304,0.04405,0.33,0.0235,-1.5,7.2600002,5,0.9,31.62,TX,Texas
12937,13305,0.03133,0.33,0.0223,-3,7.4000001,5,0.8,28.87,TX,Texas
12938,13306,0.00496,0.33,0.0265,2.1199999,7.0999999,5,0.9,15.81,TX,Texas
12939,13307,0.05971,0.33,0.0259,-5,7.0999999,5,0.9,35.36,TX,Texas
12940,13308,0.02485,0.33,0.0242,-3,7.171,5,0.9,35.36,TX,Texas
12941,13309,0.00597,0.32,0.0291,2.1199999,7,5,0.8,12.91,TX,Texas
12942,13310,0.05583,0.32,0.0292,3,7,5,0.8,12.91,TX,Texas
12943,13311,0.05601,0.325,0.0277,2,7.0500002,5,0.8,18.26,TX,Texas
12944,13312,0.04722,0.32,0.0302,-9,6.8909998,5,0.8,28.87,TX,Texas
12945,13313,0.05212,0.32,0.0291,-7,7,5,0.8,28.87,TX,Texas
12946,13314,0.03583,0.31,0.0299,-9,6.5,5,0.8,28.87,TX,Texas
12947,13315,0.05721,0.319,0.0299,-9,6.6690001,5,0.8,28.87,TX,Texas
12948,13316,0.01182,0.32,0.0295,-9,6.6999998,5,0.8,28.87,TX,Texas
12949,13317,0.00194,0.31,0.0248,-1.15,6.0999999,5,0.5,18.26,TX,Texas
12950,13318,0.05211,0.31,0.0246,-1.15,6.0999999,3,0.5,14.14,TX,Texas
12951,13319,0.05469,0.31,0.0244,-1.15,6.1999998,3,0.5,14.14,TX,Texas
12952,13320,0.07003,0.31,0.0255,-1.4529999,6.3000002,5,0.5,18.26,TX,Texas
12953,13321,0.11126,0.31,0.0261,-1.5,6.3000002,5,0.9,31.62,TX,Texas
12954,13322,0.06031,0.31,0.0268,-5,6.3670001,5,0.8,28.87,TX,Texas
12955,13323,0.0193,0.31,0.0284,-4.0300002,6.5,5,0.8,28.87,TX,Texas
12956,13324,0.00172,0.27,0.0186,0,4.9000001,3,0.8,19.36,TX,Texas
12957,13325,0.01255,0.3,0.0245,-1.15,5.6999998,5,0.5,18.26,TX,Texas
12958,13326,0.0837,0.301,0.0252,-1.15,5.8670001,3,0.5,14.14,TX,Texas
12959,13327,0.03131,0.31,0.0254,-1.15,6.0999999,5,0.9,31.62,TX,Texas
12960,13328,0.08471,0.31,0.0254,-1.5,6.2259998,5,0.9,31.62,TX,Texas
12961,13329,0.09268,0.31,0.0257,-1.5,6.3000002,5,0.9,31.62,TX,Texas
12962,13330,0.01034,0.31,0.0263,-1.5,6.3000002,5,0.9,31.62,TX,Texas
12963,13331,0.05471,0.27,0.0186,0,4.9000001,3,0.8,19.36,TX,Texas
12964,13332,0.05485,0.292,0.024,-1.0599999,5.3920002,3,0.5,14.14,TX,Texas
12965,13333,0.05841,0.3,0.0243,-1.0599999,5.6999998,3,0.5,14.14,TX,Texas
12966,13334,0.10453,0.3,0.026,-1.15,5.6999998,5,0.5,18.26,TX,Texas
12967,13335,0.11678,0.301,0.0265,-1.15,5.757,5,0.8,25.82,TX,Texas
12968,13336,0.07972,0.31,0.0258,-1.15,6.0999999,5,0.8,25.82,TX,Texas
12969,13337,0.02785,0.31,0.0253,-1.15,6.1570001,5,0.9,31.62,TX,Texas
12970,13338,0.04537,0.28,0.0197,-1.0599999,5.0999999,3,0.5,15.81,TX,Texas
12971,13339,0.05256,0.284,0.0212,-1.0599999,5.1830001,3,0.5,15.81,TX,Texas
12972,13340,0.03084,0.29,0.0255,-1.0599999,5.3000002,5,0.5,18.26,TX,Texas
12973,13341,0.09003,0.292,0.0274,-1.0599999,5.395,5,0.8,25.82,TX,Texas
12974,13342,0.10362,0.3,0.0265,-1.0599999,5.6999998,5,0.8,25.82,TX,Texas
12975,13343,0.02771,0.3,0.0263,-1.128,5.6999998,5,0.8,25.82,TX,Texas
12976,13344,0.00928,0.28,0.0257,-1.0599999,5.0999999,5,0.8,25.82,TX,Texas
12977,13345,0.0942,0.28,0.0266,-1.0599999,5.0999999,5,0.8,25.82,TX,Texas
12978,13346,0.09021,0.286,0.0269,-1.0599999,5.2090001,5,0.8,25.82,TX,Texas
12979,13347,0.0218,0.29,0.027,-1.0599999,5.3000002,5,0.8,25.82,TX,Texas
12980,13348,0.04357,0.22,0.0323,-0.18,4.3000002,3,0.8,17.32,TX,Texas
12981,13349,0.05875,0.25,0.0182,-0.67,4.5,3,0.8,19.36,TX,Texas
12982,13350,0.00228,0.25,0.0186,-0.67,4.5,3,0.8,19.36,TX,Texas
12983,13351,0.03178,0.275,0.0257,-1.0599999,5,5,0.8,25.82,TX,Texas
12984,13352,0.01891,0.28,0.0257,-1.0599999,5.0999999,5,0.8,25.82,TX,Texas
12985,13353,0.02365,0.22,0.0288,-0.18,4.3000002,3,0.8,17.32,TX,Texas
12986,13354,0.06833,0.21,0.0269,-0.22,4.2670002,3,0.8,17.32,TX,Texas
12987,13355,0.02389,0.23,0.0197,-0.67,4.4000001,3,0.8,19.36,TX,Texas
12988,13356,0.05535,0.245,0.0196,-0.67,4.4749999,3,0.8,19.36,TX,Texas
12989,13357,0.01735,0.25,0.0186,-0.67,4.5,3,0.8,19.36,TX,Texas
12990,13358,0.05239,0.22,0.023,-0.22,4.3000002,3,0.8,17.32,TX,Texas
12991,13359,0.03534,0.23,0.0202,-0.22,4.4000001,3,0.5,13.69,TX,Texas
12992,13360,0.05747,0.23,0.0197,-0.22,4.4000001,3,0.5,13.69,TX,Texas
12993,13361,0.03115,0.23,0.0192,-0.58,4.4000001,3,0.5,13.69,TX,Texas
12994,13362,0.01543,0.22,0.0216,-0.22,4.3000002,3,0.8,19.36,TX,Texas
12995,13363,0.06106,0.22,0.0193,-0.22,4.3000002,3,0.5,13.69,TX,Texas
12996,13364,0.05531,0.22,0.0196,-0.22,4.3000002,3,0.5,13.69,TX,Texas
12997,13365,0.02204,0.225,0.02,-0.22,4.3499999,3,0.5,13.69,TX,Texas
12998,13366,0.03116,0.22,0.0326,-0.18,4.3000002,3,0.8,17.32,TX,Texas
12999,13367,0.00043,0.22,0.0326,-0.18,4.3000002,3,0.8,17.32,TX,Texas
13000,13368,0.08221,0.195,0.0334,-0.18,4.217,3,0.8,17.32,TX,Texas
13001,13369,0.08719,0.198,0.0301,-0.18,4.2249999,3,0.8,17.32,TX,Texas
13002,13370,0.05606,0.19,0.0314,-0.18,4.1999998,3,0.8,17.32,TX,Texas
